id,n,p100,p95,p90,p85,p80,p75,p70,p65,p60,p55,p50,p45,p40,p35,p30,p25,p20,p15,p10,p05,p00
550,550,0.672,0.432,0.394,0.373,0.356,0.342,0.329,0.318,0.307,0.297,0.286,0.276,0.266,0.257,0.245,0.232,0.218,0.202,0.178,0.141,0.000
560,560,0.666,0.441,0.400,0.378,0.360,0.346,0.332,0.321,0.311,0.300,0.290,0.279,0.269,0.258,0.247,0.233,0.220,0.201,0.178,0.137,0.000
570,570,0.647,0.443,0.405,0.380,0.363,0.348,0.335,0.326,0.314,0.302,0.292,0.281,0.272,0.264,0.252,0.240,0.224,0.208,0.182,0.146,0.000
580,580,0.694,0.433,0.397,0.373,0.355,0.343,0.331,0.319,0.307,0.296,0.287,0.278,0.267,0.256,0.245,0.233,0.217,0.199,0.180,0.139,0.000
590,590,0.619,0.454,0.415,0.390,0.370,0.357,0.344,0.333,0.321,0.311,0.300,0.292,0.280,0.268,0.257,0.245,0.231,0.212,0.190,0.149,0.000
600,600,0.638,0.436,0.399,0.377,0.357,0.343,0.332,0.317,0.306,0.296,0.289,0.277,0.267,0.256,0.245,0.234,0.217,0.201,0.178,0.141,0.000
610,610,0.651,0.443,0.406,0.386,0.368,0.353,0.340,0.329,0.317,0.306,0.296,0.287,0.275,0.262,0.250,0.240,0.224,0.204,0.184,0.144,0.000
620,620,0.657,0.446,0.408,0.387,0.368,0.355,0.342,0.331,0.319,0.308,0.299,0.289,0.277,0.266,0.255,0.243,0.228,0.210,0.187,0.148,0.000
630,630,0.624,0.449,0.408,0.388,0.369,0.356,0.345,0.334,0.322,0.310,0.301,0.290,0.281,0.265,0.254,0.244,0.228,0.208,0.188,0.149,0.000
640,640,0.653,0.457,0.421,0.398,0.380,0.363,0.352,0.341,0.329,0.319,0.309,0.299,0.289,0.277,0.265,0.252,0.239,0.220,0.196,0.157,0.000
650,650,0.625,0.449,0.413,0.394,0.375,0.360,0.350,0.338,0.325,0.314,0.303,0.295,0.286,0.274,0.262,0.248,0.235,0.215,0.194,0.156,0.000
660,660,0.658,0.446,0.407,0.388,0.369,0.354,0.343,0.331,0.319,0.309,0.300,0.291,0.280,0.267,0.256,0.245,0.231,0.211,0.190,0.151,0.000
670,670,0.654,0.445,0.408,0.388,0.369,0.353,0.341,0.333,0.320,0.308,0.298,0.290,0.279,0.269,0.255,0.243,0.229,0.211,0.187,0.148,0.000
680,680,0.679,0.450,0.410,0.388,0.370,0.353,0.341,0.330,0.318,0.305,0.296,0.288,0.279,0.267,0.252,0.240,0.228,0.207,0.185,0.145,0.000
690,690,0.690,0.447,0.408,0.386,0.369,0.353,0.341,0.329,0.319,0.307,0.296,0.288,0.277,0.268,0.255,0.242,0.229,0.211,0.188,0.151,0.000
700,700,0.670,0.449,0.410,0.387,0.371,0.356,0.343,0.331,0.321,0.311,0.300,0.291,0.282,0.270,0.258,0.246,0.231,0.213,0.189,0.150,0.000
710,710,0.670,0.448,0.412,0.385,0.369,0.354,0.340,0.329,0.319,0.310,0.299,0.288,0.278,0.269,0.257,0.243,0.229,0.211,0.186,0.149,0.000
720,720,0.638,0.444,0.408,0.385,0.367,0.352,0.338,0.329,0.319,0.307,0.298,0.288,0.278,0.267,0.254,0.240,0.228,0.208,0.185,0.145,0.000
730,730,0.661,0.452,0.419,0.395,0.377,0.361,0.347,0.336,0.326,0.316,0.304,0.295,0.285,0.275,0.262,0.249,0.234,0.217,0.192,0.154,0.000
740,740,0.656,0.456,0.415,0.394,0.376,0.360,0.347,0.337,0.327,0.315,0.304,0.295,0.286,0.274,0.260,0.248,0.236,0.217,0.190,0.152,0.000
750,750,0.693,0.452,0.416,0.391,0.374,0.361,0.348,0.337,0.327,0.316,0.304,0.295,0.285,0.274,0.263,0.250,0.235,0.218,0.191,0.155,0.000
760,760,0.657,0.451,0.418,0.393,0.376,0.362,0.350,0.339,0.328,0.318,0.307,0.298,0.288,0.277,0.266,0.252,0.238,0.220,0.198,0.158,0.000
770,770,0.649,0.452,0.412,0.389,0.370,0.357,0.343,0.334,0.322,0.312,0.302,0.292,0.283,0.271,0.258,0.245,0.233,0.216,0.191,0.153,0.000
780,780,0.678,0.459,0.421,0.397,0.380,0.367,0.353,0.341,0.329,0.321,0.310,0.299,0.289,0.279,0.268,0.255,0.239,0.224,0.198,0.163,0.000
790,790,0.671,0.449,0.413,0.388,0.371,0.358,0.344,0.333,0.323,0.312,0.300,0.289,0.281,0.270,0.258,0.245,0.229,0.212,0.189,0.152,0.000
800,800,0.701,0.456,0.421,0.396,0.380,0.366,0.352,0.341,0.332,0.323,0.310,0.300,0.290,0.279,0.270,0.255,0.240,0.223,0.199,0.161,0.000
810,810,0.671,0.455,0.414,0.395,0.375,0.363,0.348,0.337,0.328,0.317,0.305,0.297,0.287,0.276,0.263,0.250,0.238,0.220,0.195,0.158,0.000
820,820,0.650,0.463,0.424,0.406,0.385,0.370,0.359,0.348,0.335,0.325,0.316,0.307,0.296,0.283,0.271,0.260,0.245,0.226,0.202,0.166,0.000
830,830,0.666,0.467,0.428,0.403,0.387,0.370,0.358,0.348,0.337,0.329,0.315,0.306,0.295,0.286,0.272,0.260,0.245,0.231,0.206,0.166,0.000
840,840,0.673,0.463,0.428,0.404,0.388,0.372,0.357,0.346,0.337,0.326,0.313,0.303,0.296,0.285,0.273,0.257,0.244,0.227,0.201,0.163,0.000
850,850,0.658,0.452,0.414,0.392,0.376,0.360,0.348,0.335,0.327,0.316,0.304,0.296,0.285,0.276,0.264,0.250,0.236,0.217,0.194,0.157,0.000
860,860,0.675,0.471,0.437,0.411,0.395,0.381,0.365,0.354,0.345,0.334,0.324,0.312,0.302,0.291,0.281,0.267,0.252,0.238,0.211,0.175,0.000
870,870,0.699,0.465,0.427,0.402,0.385,0.368,0.355,0.343,0.334,0.322,0.311,0.300,0.290,0.281,0.268,0.255,0.241,0.225,0.200,0.160,0.000
880,880,0.673,0.462,0.425,0.404,0.386,0.368,0.356,0.347,0.334,0.323,0.311,0.303,0.295,0.283,0.270,0.256,0.245,0.225,0.200,0.161,0.000
890,890,0.666,0.461,0.422,0.398,0.383,0.366,0.352,0.343,0.331,0.319,0.308,0.299,0.290,0.279,0.265,0.254,0.241,0.221,0.197,0.158,0.000
900,900,0.668,0.465,0.430,0.405,0.389,0.377,0.360,0.347,0.337,0.329,0.319,0.307,0.296,0.286,0.274,0.261,0.246,0.231,0.206,0.170,0.000
910,910,0.676,0.459,0.424,0.399,0.381,0.370,0.354,0.343,0.332,0.324,0.312,0.301,0.290,0.281,0.271,0.258,0.242,0.225,0.202,0.163,0.000
920,920,0.704,0.469,0.429,0.408,0.389,0.375,0.363,0.350,0.339,0.330,0.318,0.310,0.297,0.287,0.275,0.263,0.247,0.230,0.208,0.166,0.000
930,930,0.706,0.469,0.432,0.411,0.393,0.377,0.364,0.352,0.340,0.331,0.321,0.310,0.299,0.288,0.277,0.264,0.249,0.232,0.208,0.171,0.000
940,940,0.691,0.460,0.422,0.396,0.379,0.365,0.352,0.339,0.328,0.321,0.309,0.299,0.288,0.278,0.267,0.254,0.239,0.222,0.198,0.162,0.000
950,950,0.679,0.466,0.427,0.404,0.389,0.373,0.360,0.350,0.339,0.329,0.319,0.309,0.299,0.288,0.276,0.263,0.248,0.231,0.208,0.170,0.000
960,960,0.657,0.461,0.423,0.398,0.381,0.367,0.354,0.341,0.331,0.320,0.310,0.300,0.289,0.281,0.269,0.253,0.240,0.223,0.198,0.160,0.000
970,970,0.695,0.462,0.425,0.400,0.384,0.370,0.355,0.347,0.335,0.324,0.314,0.304,0.294,0.281,0.271,0.258,0.243,0.224,0.202,0.164,0.000
980,980,0.705,0.472,0.438,0.413,0.395,0.383,0.369,0.356,0.346,0.339,0.327,0.317,0.305,0.295,0.285,0.273,0.255,0.238,0.216,0.178,0.000
990,990,0.712,0.469,0.430,0.409,0.392,0.377,0.365,0.351,0.341,0.331,0.320,0.309,0.298,0.288,0.277,0.265,0.249,0.232,0.207,0.171,0.000
1000,1000,0.671,0.461,0.428,0.404,0.387,0.375,0.359,0.347,0.336,0.326,0.316,0.306,0.294,0.285,0.274,0.260,0.246,0.229,0.206,0.169,0.000
1010,1010,0.690,0.474,0.429,0.410,0.390,0.374,0.364,0.351,0.341,0.329,0.320,0.311,0.301,0.289,0.276,0.263,0.251,0.231,0.208,0.170,0.000
1020,1020,0.695,0.470,0.435,0.414,0.394,0.380,0.367,0.355,0.343,0.333,0.324,0.314,0.303,0.291,0.280,0.267,0.254,0.236,0.212,0.171,0.000
1030,1030,0.708,0.469,0.429,0.404,0.388,0.375,0.362,0.351,0.339,0.329,0.319,0.308,0.298,0.286,0.276,0.263,0.248,0.230,0.208,0.168,0.000
1040,1040,0.668,0.468,0.433,0.410,0.396,0.378,0.365,0.355,0.344,0.334,0.322,0.312,0.304,0.294,0.283,0.267,0.253,0.237,0.210,0.173,0.000
1050,1050,0.725,0.470,0.433,0.412,0.394,0.378,0.367,0.354,0.344,0.334,0.322,0.313,0.303,0.293,0.280,0.267,0.252,0.237,0.210,0.173,0.000
1060,1060,0.677,0.474,0.436,0.411,0.395,0.379,0.365,0.353,0.344,0.333,0.324,0.310,0.301,0.291,0.278,0.267,0.251,0.235,0.211,0.172,0.000
1070,1070,0.709,0.476,0.438,0.416,0.399,0.385,0.369,0.358,0.347,0.338,0.326,0.316,0.305,0.296,0.284,0.270,0.255,0.240,0.215,0.176,0.000
1080,1080,0.728,0.471,0.433,0.412,0.395,0.377,0.366,0.356,0.345,0.331,0.322,0.313,0.305,0.293,0.278,0.267,0.254,0.236,0.211,0.174,0.000
1090,1090,0.738,0.470,0.434,0.413,0.396,0.379,0.367,0.357,0.346,0.335,0.325,0.315,0.303,0.292,0.282,0.270,0.252,0.235,0.213,0.174,0.000
1100,1100,0.716,0.476,0.440,0.419,0.397,0.384,0.370,0.360,0.347,0.336,0.328,0.317,0.307,0.294,0.285,0.271,0.257,0.238,0.215,0.178,0.000
1110,1110,0.691,0.472,0.432,0.412,0.393,0.377,0.364,0.351,0.340,0.328,0.317,0.308,0.298,0.287,0.274,0.262,0.247,0.230,0.207,0.166,0.000
1120,1120,0.664,0.476,0.442,0.415,0.397,0.382,0.370,0.356,0.346,0.337,0.326,0.317,0.305,0.295,0.283,0.271,0.257,0.239,0.214,0.176,0.000
1130,1130,0.656,0.468,0.431,0.408,0.388,0.375,0.362,0.351,0.340,0.332,0.321,0.309,0.300,0.287,0.277,0.263,0.249,0.232,0.208,0.171,0.000
1140,1140,0.719,0.465,0.428,0.403,0.388,0.373,0.358,0.346,0.338,0.329,0.314,0.304,0.293,0.285,0.273,0.261,0.245,0.229,0.203,0.164,0.000
1150,1150,0.698,0.479,0.436,0.414,0.397,0.384,0.369,0.357,0.347,0.338,0.329,0.317,0.306,0.295,0.286,0.274,0.257,0.240,0.220,0.181,0.000
1160,1160,0.695,0.473,0.436,0.411,0.397,0.381,0.369,0.355,0.346,0.334,0.326,0.314,0.303,0.294,0.281,0.270,0.253,0.236,0.214,0.177,0.000
1170,1170,0.734,0.471,0.435,0.410,0.394,0.380,0.363,0.353,0.343,0.333,0.324,0.312,0.300,0.290,0.279,0.266,0.250,0.233,0.211,0.173,0.000
1180,1180,0.720,0.480,0.445,0.421,0.405,0.389,0.376,0.365,0.354,0.346,0.333,0.322,0.312,0.301,0.291,0.279,0.263,0.246,0.222,0.184,0.000
1190,1190,0.764,0.477,0.441,0.417,0.399,0.384,0.370,0.360,0.350,0.338,0.328,0.317,0.308,0.299,0.285,0.271,0.258,0.241,0.215,0.178,0.000
1200,1200,0.674,0.470,0.432,0.414,0.395,0.379,0.367,0.357,0.346,0.335,0.324,0.315,0.305,0.293,0.280,0.269,0.254,0.233,0.212,0.173,0.000
