id,n,p100,p95,p90,p85,p80,p75,p70,p65,p60,p55,p50,p45,p40,p35,p30,p25,p20,p15,p10,p05,p00
10,10,0.182,0.182,0.167,0.167,0.121,0.121,0.101,0.101,0.096,0.096,0.081,0.081,0.056,0.056,0.051,0.051,0.000,0.000,0.000,0.000,0.000
20,20,0.278,0.242,0.207,0.187,0.187,0.182,0.167,0.156,0.156,0.151,0.126,0.116,0.116,0.106,0.101,0.076,0.060,0.050,0.000,0.000,0.000
30,30,0.323,0.313,0.267,0.257,0.247,0.232,0.212,0.207,0.192,0.181,0.156,0.156,0.146,0.141,0.116,0.106,0.096,0.086,0.050,0.000,0.000
40,40,0.349,0.293,0.268,0.242,0.232,0.222,0.207,0.197,0.187,0.181,0.156,0.156,0.156,0.146,0.131,0.111,0.101,0.075,0.050,0.000,0.000
50,50,0.390,0.329,0.298,0.278,0.253,0.248,0.237,0.222,0.207,0.197,0.187,0.182,0.177,0.156,0.146,0.136,0.111,0.101,0.065,0.050,0.000
60,60,0.424,0.333,0.303,0.288,0.267,0.262,0.252,0.227,0.222,0.212,0.207,0.202,0.191,0.176,0.161,0.151,0.141,0.111,0.095,0.050,0.000
70,70,0.440,0.359,0.318,0.293,0.268,0.268,0.258,0.238,0.227,0.212,0.212,0.212,0.182,0.166,0.161,0.156,0.136,0.115,0.100,0.050,0.000
80,80,0.445,0.344,0.313,0.298,0.277,0.262,0.257,0.252,0.232,0.222,0.207,0.207,0.206,0.171,0.171,0.156,0.151,0.125,0.100,0.050,0.000
90,90,0.475,0.369,0.343,0.323,0.293,0.282,0.277,0.272,0.252,0.237,0.232,0.221,0.206,0.196,0.191,0.176,0.151,0.145,0.105,0.080,0.000
100,100,0.475,0.383,0.338,0.317,0.298,0.282,0.272,0.262,0.261,0.247,0.226,0.221,0.211,0.206,0.186,0.176,0.160,0.150,0.110,0.080,0.000
110,110,0.474,0.358,0.317,0.307,0.282,0.272,0.252,0.246,0.236,0.231,0.216,0.206,0.201,0.191,0.175,0.160,0.150,0.135,0.104,0.069,0.000
120,120,0.474,0.367,0.332,0.322,0.297,0.286,0.271,0.261,0.251,0.241,0.231,0.226,0.211,0.200,0.195,0.175,0.155,0.150,0.120,0.084,0.000
130,130,0.493,0.377,0.351,0.326,0.311,0.296,0.285,0.271,0.261,0.251,0.245,0.230,0.220,0.205,0.205,0.189,0.169,0.154,0.119,0.098,0.000
140,140,0.508,0.366,0.346,0.316,0.305,0.299,0.271,0.256,0.250,0.244,0.239,0.224,0.210,0.199,0.193,0.183,0.154,0.143,0.118,0.087,0.000
150,150,0.507,0.390,0.354,0.330,0.305,0.294,0.279,0.278,0.254,0.244,0.238,0.229,0.228,0.213,0.199,0.188,0.177,0.157,0.132,0.092,0.000
160,160,0.518,0.382,0.356,0.335,0.310,0.291,0.285,0.279,0.259,0.250,0.245,0.239,0.228,0.209,0.200,0.193,0.174,0.150,0.138,0.097,0.000
170,170,0.569,0.407,0.366,0.346,0.321,0.315,0.300,0.290,0.270,0.265,0.255,0.249,0.239,0.220,0.210,0.204,0.184,0.165,0.148,0.104,0.000
180,180,0.553,0.412,0.376,0.346,0.331,0.320,0.305,0.295,0.280,0.273,0.264,0.249,0.239,0.229,0.214,0.204,0.193,0.164,0.143,0.108,0.000
190,190,0.539,0.401,0.357,0.340,0.316,0.306,0.294,0.275,0.270,0.256,0.250,0.244,0.229,0.219,0.199,0.198,0.174,0.154,0.142,0.098,0.000
200,200,0.512,0.406,0.375,0.346,0.334,0.315,0.300,0.290,0.279,0.269,0.263,0.253,0.235,0.225,0.214,0.203,0.188,0.168,0.139,0.108,0.000
210,210,0.548,0.420,0.376,0.355,0.326,0.319,0.314,0.298,0.276,0.270,0.268,0.263,0.239,0.229,0.218,0.208,0.188,0.182,0.153,0.112,0.000
220,220,0.551,0.404,0.369,0.347,0.324,0.317,0.303,0.292,0.278,0.273,0.259,0.252,0.242,0.232,0.217,0.203,0.192,0.176,0.146,0.110,0.000
230,230,0.546,0.419,0.387,0.349,0.342,0.323,0.308,0.298,0.295,0.281,0.263,0.253,0.247,0.245,0.235,0.212,0.196,0.190,0.152,0.116,0.000
240,240,0.563,0.407,0.377,0.353,0.341,0.314,0.307,0.296,0.294,0.263,0.256,0.251,0.245,0.235,0.212,0.201,0.194,0.171,0.146,0.106,0.000
250,250,0.599,0.423,0.390,0.358,0.345,0.331,0.309,0.302,0.295,0.289,0.276,0.254,0.251,0.244,0.238,0.212,0.201,0.188,0.156,0.116,0.000
260,260,0.538,0.420,0.373,0.356,0.329,0.320,0.314,0.296,0.286,0.273,0.269,0.256,0.246,0.240,0.222,0.218,0.195,0.172,0.146,0.114,0.000
270,270,0.574,0.423,0.386,0.353,0.342,0.331,0.308,0.302,0.295,0.290,0.276,0.254,0.250,0.244,0.234,0.216,0.200,0.192,0.152,0.116,0.000
280,280,0.605,0.412,0.368,0.343,0.331,0.317,0.307,0.296,0.286,0.276,0.266,0.256,0.249,0.236,0.225,0.207,0.203,0.181,0.155,0.112,0.000
290,290,0.600,0.426,0.385,0.355,0.342,0.339,0.321,0.303,0.296,0.290,0.287,0.270,0.257,0.246,0.239,0.232,0.206,0.190,0.170,0.136,0.000
300,300,0.578,0.421,0.386,0.365,0.345,0.330,0.316,0.305,0.294,0.288,0.271,0.261,0.251,0.245,0.234,0.219,0.200,0.187,0.163,0.124,0.000
310,310,0.611,0.420,0.384,0.359,0.340,0.329,0.319,0.301,0.295,0.288,0.277,0.260,0.250,0.243,0.237,0.222,0.200,0.188,0.155,0.126,0.000
320,320,0.577,0.431,0.392,0.374,0.348,0.339,0.325,0.311,0.297,0.294,0.287,0.273,0.260,0.246,0.243,0.225,0.213,0.193,0.169,0.135,0.000
330,330,0.612,0.418,0.391,0.360,0.344,0.333,0.323,0.305,0.298,0.288,0.281,0.265,0.255,0.243,0.236,0.226,0.201,0.190,0.163,0.129,0.000
340,340,0.613,0.425,0.391,0.364,0.345,0.333,0.326,0.309,0.299,0.290,0.281,0.275,0.258,0.248,0.234,0.226,0.209,0.192,0.174,0.134,0.000
350,350,0.605,0.425,0.390,0.370,0.346,0.337,0.323,0.312,0.296,0.292,0.281,0.271,0.258,0.245,0.237,0.225,0.209,0.188,0.167,0.133,0.000
360,360,0.603,0.427,0.392,0.367,0.352,0.327,0.322,0.311,0.298,0.288,0.278,0.267,0.260,0.246,0.233,0.224,0.207,0.191,0.166,0.126,0.000
370,370,0.599,0.424,0.391,0.370,0.345,0.335,0.324,0.312,0.295,0.291,0.281,0.277,0.262,0.249,0.241,0.229,0.212,0.192,0.173,0.137,0.000
380,380,0.596,0.429,0.389,0.367,0.347,0.330,0.322,0.313,0.298,0.291,0.277,0.269,0.262,0.249,0.233,0.223,0.209,0.193,0.168,0.128,0.000
390,390,0.594,0.429,0.390,0.369,0.350,0.330,0.321,0.312,0.299,0.289,0.274,0.269,0.258,0.247,0.229,0.220,0.209,0.186,0.165,0.122,0.000
400,400,0.599,0.422,0.389,0.363,0.349,0.332,0.316,0.305,0.297,0.286,0.275,0.264,0.257,0.245,0.235,0.222,0.206,0.189,0.167,0.131,0.000
410,410,0.582,0.432,0.394,0.373,0.355,0.343,0.329,0.317,0.305,0.295,0.286,0.275,0.266,0.254,0.243,0.232,0.216,0.196,0.174,0.139,0.000
420,420,0.595,0.420,0.383,0.360,0.343,0.331,0.313,0.300,0.294,0.288,0.277,0.259,0.249,0.242,0.232,0.219,0.199,0.188,0.159,0.127,0.000
430,430,0.600,0.426,0.387,0.368,0.348,0.334,0.321,0.314,0.298,0.289,0.279,0.270,0.259,0.246,0.234,0.223,0.206,0.191,0.169,0.132,0.000
440,440,0.608,0.431,0.389,0.364,0.347,0.335,0.322,0.309,0.297,0.290,0.277,0.269,0.256,0.245,0.236,0.223,0.210,0.189,0.166,0.127,0.000
450,450,0.611,0.430,0.389,0.370,0.346,0.336,0.325,0.310,0.296,0.289,0.281,0.272,0.254,0.245,0.236,0.226,0.201,0.189,0.168,0.130,0.000
460,460,0.648,0.437,0.402,0.381,0.361,0.347,0.335,0.324,0.312,0.299,0.292,0.283,0.274,0.259,0.247,0.238,0.224,0.200,0.181,0.141,0.000
470,470,0.630,0.436,0.396,0.379,0.358,0.344,0.335,0.324,0.313,0.300,0.288,0.281,0.269,0.258,0.245,0.234,0.219,0.203,0.178,0.140,0.000
480,480,0.638,0.428,0.389,0.369,0.356,0.338,0.329,0.318,0.306,0.296,0.286,0.275,0.267,0.252,0.241,0.229,0.216,0.198,0.175,0.135,0.000
490,490,0.617,0.432,0.398,0.374,0.356,0.338,0.326,0.316,0.304,0.293,0.283,0.274,0.265,0.254,0.242,0.229,0.215,0.198,0.174,0.133,0.000
500,500,0.634,0.423,0.385,0.364,0.347,0.331,0.319,0.307,0.297,0.285,0.276,0.266,0.254,0.243,0.230,0.219,0.205,0.188,0.165,0.124,0.000
510,510,0.620,0.435,0.397,0.374,0.357,0.339,0.328,0.317,0.306,0.294,0.282,0.274,0.265,0.252,0.240,0.227,0.214,0.197,0.172,0.135,0.000
520,520,0.641,0.434,0.396,0.370,0.354,0.340,0.328,0.315,0.305,0.295,0.285,0.273,0.263,0.252,0.240,0.227,0.213,0.196,0.174,0.133,0.000
530,530,0.657,0.435,0.398,0.374,0.355,0.339,0.326,0.316,0.306,0.294,0.282,0.273,0.262,0.255,0.240,0.228,0.213,0.196,0.174,0.135,0.000
540,540,0.615,0.433,0.396,0.375,0.353,0.340,0.327,0.316,0.305,0.295,0.286,0.275,0.266,0.254,0.242,0.230,0.216,0.198,0.175,0.137,0.000
