id,n,L
1,1,0
2,2,1
3,3,2
4,4,2
5,5,4
6,6,4
7,7,4
8,8,4
9,9,4
10,10,4
11,11,5
12,12,4
13,13,4
14,14,6
15,15,4
16,16,6
17,17,6
18,18,6
19,19,6
20,20,6
21,21,6
22,22,6
23,23,6
24,24,6
25,25,6
26,26,6
27,27,6
28,28,6
29,29,6
30,30,8
31,31,6
32,32,6
33,33,6
34,34,8
35,35,8
36,36,8
37,37,8
38,38,8
39,39,8
40,40,8
41,41,8
42,42,8
43,43,8
44,44,8
45,45,8
46,46,8
47,47,8
48,48,8
49,49,8
50,50,8
51,51,8
52,52,8
53,53,8
54,54,8
55,55,8
56,56,8
57,57,10
58,58,8
59,59,8
60,60,8
61,61,8
62,62,10
63,63,8
64,64,8
65,65,8
66,66,8
67,67,8
68,68,10
69,69,10
70,70,8
71,71,8
72,72,8
73,73,10
74,74,10
75,75,10
76,76,8
77,77,8
78,78,10
79,79,10
80,80,10
81,81,8
82,82,8
83,83,10
84,84,10
85,85,8
86,86,8
87,87,10
88,88,8
89,89,10
90,90,10
91,91,10
92,92,10
93,93,10
94,94,10
95,95,10
96,96,10
97,97,10
98,98,10
99,99,10
100,100,10
102,102,10
104,104,10
106,106,10
108,108,10
110,110,10
112,112,10
114,114,10
116,116,10
118,118,10
120,120,10
122,122,10
124,124,10
126,126,10
128,128,10
130,130,10
132,132,10
134,134,10
136,136,10
138,138,10
140,140,10
142,142,8
144,144,10
146,146,10
148,148,10
150,150,10
152,152,10
154,154,12
156,156,10
158,158,10
160,160,12
162,162,10
164,164,10
166,166,10
168,168,10
170,170,12
172,172,10
174,174,12
176,176,10
178,178,10
180,180,10
182,182,10
184,184,10
186,186,10
188,188,10
190,190,10
192,192,10
194,194,10
196,196,10
198,198,10
200,200,10
202,202,12
204,204,12
206,206,10
208,208,10
210,210,10
212,212,12
214,214,10
216,216,12
218,218,12
220,220,10
222,222,10
224,224,12
226,226,12
228,228,10
230,230,10
232,232,12
234,234,12
236,236,10
238,238,12
240,240,10
242,242,10
244,244,10
246,246,10
248,248,10
250,250,10
252,252,12
254,254,10
256,256,12
258,258,10
260,260,10
262,262,12
