id,n,p100,p95,p90,p85,p80,p75,p70,p65,p60,p55,p50,p45,p40,p35,p30,p25,p20,p15,p10,p05
10,10,0.051,0.051,0.051,0.051,0.050,0.050,0.050,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,20,0.056,0.051,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.000,0.000,0.000,0.000,0.000,0.000
30,30,0.091,0.086,0.071,0.056,0.055,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.000,0.000,0.000,0.000
40,40,0.101,0.086,0.081,0.071,0.061,0.051,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.000,0.000,0.000
50,50,0.096,0.086,0.076,0.070,0.060,0.055,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.000,0.000
60,60,0.106,0.101,0.091,0.080,0.070,0.070,0.065,0.060,0.060,0.060,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.000,0.000
70,70,0.110,0.100,0.085,0.075,0.065,0.060,0.055,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.049,0.049,0.049,0.000
80,80,0.116,0.100,0.100,0.100,0.080,0.075,0.065,0.065,0.055,0.055,0.050,0.050,0.050,0.050,0.050,0.050,0.049,0.049,0.049,0.000
90,90,0.105,0.100,0.094,0.075,0.065,0.060,0.060,0.060,0.055,0.050,0.050,0.050,0.050,0.050,0.049,0.049,0.049,0.049,0.049,0.000
100,100,0.102,0.095,0.090,0.090,0.080,0.075,0.065,0.060,0.060,0.060,0.060,0.060,0.050,0.050,0.050,0.049,0.049,0.049,0.049,0.000
110,110,0.116,0.100,0.090,0.084,0.074,0.074,0.074,0.065,0.065,0.060,0.060,0.060,0.059,0.054,0.054,0.049,0.049,0.049,0.048,0.000
120,120,0.115,0.099,0.094,0.093,0.064,0.059,0.054,0.049,0.049,0.049,0.049,0.049,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.000
130,130,0.119,0.094,0.089,0.089,0.079,0.079,0.074,0.069,0.054,0.054,0.049,0.049,0.049,0.049,0.049,0.048,0.048,0.048,0.048,0.047
140,140,0.114,0.098,0.093,0.093,0.083,0.073,0.064,0.063,0.054,0.049,0.049,0.049,0.049,0.049,0.048,0.048,0.048,0.047,0.047,0.046
150,150,0.114,0.098,0.093,0.088,0.078,0.078,0.068,0.068,0.049,0.049,0.049,0.049,0.048,0.048,0.048,0.048,0.047,0.047,0.047,0.046
160,160,0.114,0.098,0.097,0.092,0.078,0.069,0.068,0.063,0.058,0.058,0.054,0.054,0.053,0.048,0.048,0.048,0.047,0.047,0.047,0.046
170,170,0.128,0.098,0.097,0.092,0.087,0.082,0.068,0.063,0.063,0.054,0.054,0.049,0.049,0.048,0.048,0.048,0.047,0.047,0.046,0.046
180,180,0.114,0.097,0.096,0.082,0.077,0.064,0.063,0.063,0.059,0.058,0.058,0.053,0.053,0.053,0.048,0.047,0.047,0.047,0.046,0.045
190,190,0.127,0.099,0.093,0.092,0.087,0.086,0.077,0.073,0.072,0.068,0.063,0.058,0.054,0.053,0.048,0.048,0.047,0.047,0.046,0.045
200,200,0.123,0.097,0.096,0.091,0.090,0.086,0.081,0.080,0.071,0.063,0.058,0.053,0.049,0.048,0.048,0.048,0.047,0.046,0.046,0.045
210,210,0.127,0.098,0.096,0.095,0.094,0.086,0.085,0.081,0.076,0.075,0.075,0.066,0.058,0.053,0.048,0.047,0.047,0.046,0.045,0.043
220,220,0.118,0.096,0.095,0.094,0.089,0.088,0.075,0.075,0.066,0.061,0.053,0.048,0.047,0.047,0.046,0.046,0.045,0.045,0.044,0.043
230,230,0.116,0.095,0.094,0.084,0.075,0.070,0.065,0.061,0.056,0.052,0.047,0.047,0.046,0.046,0.046,0.045,0.044,0.044,0.043,0.042
240,240,0.120,0.096,0.094,0.092,0.087,0.079,0.074,0.070,0.057,0.057,0.056,0.055,0.055,0.054,0.050,0.045,0.044,0.043,0.042,0.041
250,250,0.126,0.095,0.094,0.093,0.092,0.088,0.079,0.074,0.070,0.065,0.060,0.052,0.051,0.051,0.050,0.049,0.045,0.044,0.043,0.041
260,260,0.111,0.093,0.091,0.090,0.082,0.067,0.062,0.057,0.056,0.051,0.051,0.050,0.049,0.049,0.045,0.044,0.043,0.042,0.041,0.039
270,270,0.129,0.093,0.092,0.087,0.087,0.075,0.071,0.070,0.065,0.060,0.055,0.050,0.046,0.046,0.045,0.044,0.043,0.042,0.041,0.040
280,280,0.119,0.092,0.090,0.085,0.085,0.081,0.076,0.076,0.062,0.058,0.053,0.052,0.047,0.046,0.045,0.045,0.044,0.043,0.041,0.039
290,290,0.124,0.092,0.090,0.086,0.081,0.077,0.069,0.068,0.061,0.060,0.059,0.054,0.053,0.049,0.048,0.044,0.043,0.042,0.041,0.039
300,300,0.132,0.091,0.089,0.084,0.080,0.075,0.074,0.064,0.063,0.053,0.049,0.048,0.047,0.046,0.044,0.043,0.042,0.041,0.040,0.037
310,310,0.133,0.093,0.090,0.089,0.088,0.077,0.076,0.071,0.070,0.063,0.060,0.056,0.052,0.048,0.047,0.045,0.044,0.043,0.041,0.038
320,320,0.121,0.091,0.088,0.087,0.086,0.082,0.068,0.063,0.059,0.049,0.048,0.048,0.048,0.047,0.046,0.044,0.042,0.040,0.039,0.036
330,330,0.124,0.091,0.084,0.080,0.075,0.074,0.073,0.069,0.062,0.058,0.054,0.050,0.050,0.049,0.045,0.044,0.043,0.041,0.039,0.037
340,340,0.129,0.091,0.088,0.086,0.085,0.084,0.075,0.071,0.066,0.060,0.059,0.058,0.054,0.053,0.046,0.045,0.044,0.042,0.040,0.037
350,350,0.118,0.095,0.088,0.083,0.082,0.075,0.071,0.067,0.066,0.062,0.062,0.061,0.054,0.053,0.049,0.048,0.047,0.041,0.039,0.036
360,360,0.132,0.090,0.087,0.085,0.083,0.082,0.078,0.072,0.062,0.055,0.055,0.054,0.053,0.046,0.045,0.044,0.043,0.041,0.038,0.035
370,370,0.128,0.090,0.086,0.085,0.077,0.075,0.075,0.071,0.071,0.064,0.060,0.056,0.053,0.052,0.051,0.050,0.046,0.042,0.039,0.035
380,380,0.116,0.086,0.083,0.081,0.076,0.072,0.066,0.054,0.050,0.047,0.046,0.045,0.044,0.043,0.042,0.041,0.039,0.037,0.035,0.031
390,390,0.122,0.087,0.083,0.081,0.076,0.069,0.066,0.063,0.061,0.060,0.058,0.055,0.052,0.048,0.047,0.044,0.042,0.039,0.036,0.030
400,400,0.123,0.088,0.084,0.081,0.077,0.075,0.072,0.068,0.060,0.056,0.052,0.051,0.046,0.045,0.044,0.043,0.042,0.040,0.036,0.031
410,410,0.132,0.087,0.083,0.080,0.076,0.074,0.070,0.067,0.066,0.061,0.050,0.049,0.048,0.045,0.044,0.042,0.041,0.039,0.035,0.031
420,420,0.123,0.086,0.082,0.079,0.074,0.067,0.064,0.056,0.055,0.054,0.051,0.048,0.047,0.046,0.044,0.040,0.038,0.037,0.034,0.028
430,430,0.134,0.088,0.083,0.080,0.075,0.074,0.070,0.065,0.059,0.058,0.055,0.054,0.053,0.052,0.047,0.045,0.042,0.039,0.036,0.032
440,440,0.122,0.087,0.082,0.078,0.076,0.074,0.071,0.064,0.062,0.059,0.054,0.054,0.050,0.047,0.043,0.042,0.039,0.037,0.035,0.028
450,450,0.126,0.086,0.081,0.078,0.074,0.071,0.066,0.062,0.058,0.056,0.055,0.051,0.049,0.047,0.045,0.043,0.039,0.037,0.034,0.029
460,460,0.120,0.084,0.077,0.073,0.070,0.067,0.065,0.060,0.055,0.050,0.046,0.044,0.043,0.041,0.040,0.038,0.036,0.034,0.029,0.024
470,470,0.122,0.087,0.080,0.075,0.072,0.070,0.067,0.061,0.059,0.055,0.054,0.052,0.048,0.046,0.044,0.043,0.040,0.037,0.034,0.027
480,480,0.117,0.081,0.076,0.070,0.065,0.063,0.062,0.056,0.053,0.049,0.046,0.043,0.042,0.041,0.039,0.037,0.035,0.032,0.028,0.021
490,490,0.127,0.087,0.082,0.077,0.074,0.072,0.070,0.066,0.061,0.059,0.057,0.055,0.053,0.049,0.047,0.045,0.043,0.038,0.034,0.028
500,500,0.129,0.084,0.079,0.074,0.070,0.067,0.064,0.062,0.059,0.055,0.052,0.050,0.049,0.047,0.043,0.040,0.037,0.034,0.030,0.024
510,510,0.117,0.083,0.076,0.072,0.067,0.064,0.061,0.059,0.055,0.053,0.051,0.047,0.045,0.043,0.041,0.039,0.036,0.033,0.029,0.022
520,520,0.126,0.084,0.078,0.074,0.069,0.066,0.064,0.062,0.060,0.057,0.055,0.051,0.049,0.045,0.043,0.041,0.038,0.035,0.031,0.023
530,530,0.114,0.077,0.070,0.067,0.063,0.060,0.057,0.054,0.050,0.047,0.045,0.043,0.040,0.039,0.037,0.034,0.032,0.029,0.025,0.018
540,540,0.116,0.080,0.075,0.072,0.069,0.065,0.062,0.058,0.056,0.054,0.052,0.049,0.046,0.044,0.042,0.039,0.036,0.033,0.029,0.021
550,550,0.116,0.077,0.069,0.066,0.063,0.060,0.058,0.056,0.052,0.050,0.047,0.045,0.043,0.040,0.038,0.035,0.033,0.030,0.025,0.018
560,560,0.116,0.078,0.072,0.066,0.062,0.060,0.058,0.056,0.053,0.050,0.049,0.046,0.044,0.042,0.039,0.036,0.034,0.030,0.025,0.018
570,570,0.127,0.083,0.076,0.071,0.068,0.064,0.062,0.060,0.057,0.056,0.052,0.050,0.048,0.045,0.043,0.041,0.039,0.035,0.029,0.022
580,580,0.127,0.085,0.078,0.072,0.068,0.065,0.063,0.062,0.060,0.058,0.056,0.053,0.050,0.048,0.045,0.043,0.039,0.036,0.031,0.024
590,590,0.125,0.086,0.077,0.072,0.068,0.064,0.061,0.059,0.058,0.056,0.055,0.053,0.051,0.049,0.045,0.043,0.041,0.037,0.030,0.021
600,600,0.125,0.085,0.077,0.073,0.069,0.066,0.064,0.061,0.060,0.058,0.056,0.054,0.051,0.048,0.046,0.043,0.040,0.036,0.030,0.023
610,610,0.122,0.085,0.078,0.072,0.068,0.064,0.060,0.059,0.057,0.056,0.055,0.052,0.050,0.048,0.045,0.042,0.039,0.036,0.030,0.022
620,620,0.125,0.085,0.077,0.071,0.068,0.065,0.061,0.060,0.057,0.056,0.054,0.052,0.050,0.048,0.045,0.042,0.039,0.037,0.032,0.021
630,630,0.124,0.088,0.079,0.074,0.070,0.067,0.063,0.062,0.060,0.058,0.057,0.055,0.052,0.050,0.047,0.044,0.041,0.039,0.034,0.027
640,640,0.129,0.089,0.083,0.077,0.072,0.070,0.067,0.065,0.062,0.060,0.058,0.057,0.055,0.052,0.049,0.047,0.043,0.039,0.036,0.030
