id,n,p100,p95,p90,p85,p80,p75,p70,p65,p60,p55,p50,p45,p40,p35,p30,p25,p20,p15,p10,p05
650,650,0.127,0.088,0.083,0.077,0.074,0.071,0.068,0.065,0.062,0.060,0.058,0.056,0.055,0.052,0.050,0.047,0.044,0.040,0.036,0.027
660,660,0.137,0.090,0.085,0.081,0.078,0.075,0.072,0.069,0.066,0.063,0.060,0.058,0.056,0.054,0.052,0.048,0.045,0.042,0.038,0.031
670,670,0.129,0.091,0.086,0.082,0.078,0.074,0.072,0.069,0.066,0.064,0.061,0.058,0.056,0.054,0.052,0.049,0.046,0.043,0.038,0.031
680,680,0.124,0.089,0.082,0.078,0.076,0.072,0.068,0.065,0.062,0.059,0.056,0.054,0.052,0.050,0.048,0.046,0.043,0.040,0.035,0.030
690,690,0.124,0.085,0.078,0.074,0.070,0.066,0.062,0.059,0.056,0.054,0.051,0.049,0.047,0.045,0.044,0.042,0.040,0.038,0.034,0.026
700,700,0.129,0.086,0.080,0.075,0.071,0.068,0.064,0.061,0.059,0.057,0.054,0.051,0.049,0.047,0.045,0.043,0.040,0.038,0.034,0.026
710,710,0.124,0.083,0.076,0.073,0.067,0.064,0.060,0.058,0.055,0.053,0.051,0.049,0.047,0.045,0.042,0.040,0.038,0.035,0.031,0.025
720,720,0.124,0.085,0.079,0.075,0.071,0.069,0.065,0.062,0.059,0.057,0.054,0.052,0.050,0.047,0.045,0.043,0.040,0.037,0.034,0.027
730,730,0.130,0.085,0.079,0.073,0.069,0.066,0.062,0.060,0.058,0.056,0.054,0.050,0.048,0.045,0.043,0.041,0.037,0.034,0.031,0.025
740,740,0.127,0.087,0.080,0.075,0.070,0.068,0.064,0.062,0.059,0.057,0.056,0.053,0.051,0.048,0.046,0.043,0.040,0.037,0.033,0.027
750,750,0.135,0.086,0.080,0.074,0.071,0.068,0.065,0.062,0.059,0.056,0.054,0.052,0.050,0.049,0.047,0.044,0.040,0.036,0.032,0.027
760,760,0.133,0.089,0.083,0.077,0.074,0.071,0.069,0.067,0.064,0.062,0.060,0.057,0.055,0.052,0.049,0.046,0.043,0.040,0.035,0.027
770,770,0.129,0.086,0.079,0.074,0.071,0.068,0.066,0.064,0.062,0.059,0.057,0.055,0.052,0.051,0.047,0.044,0.040,0.036,0.032,0.025
780,780,0.132,0.090,0.083,0.078,0.075,0.071,0.069,0.067,0.065,0.062,0.059,0.058,0.054,0.052,0.049,0.047,0.044,0.040,0.034,0.027
790,790,0.135,0.095,0.088,0.082,0.077,0.074,0.071,0.069,0.066,0.065,0.062,0.060,0.057,0.054,0.052,0.049,0.046,0.041,0.037,0.030
800,800,0.131,0.094,0.088,0.081,0.076,0.073,0.070,0.068,0.065,0.064,0.059,0.057,0.055,0.052,0.050,0.047,0.043,0.039,0.034,0.026
810,810,0.134,0.092,0.084,0.079,0.073,0.071,0.068,0.065,0.064,0.060,0.058,0.055,0.054,0.051,0.049,0.046,0.044,0.041,0.035,0.027
820,820,0.140,0.099,0.089,0.083,0.077,0.074,0.072,0.069,0.067,0.065,0.062,0.060,0.058,0.055,0.052,0.051,0.047,0.044,0.040,0.031
830,830,0.131,0.092,0.086,0.079,0.073,0.070,0.068,0.065,0.064,0.061,0.058,0.056,0.053,0.051,0.048,0.046,0.043,0.039,0.034,0.026
840,840,0.137,0.093,0.087,0.081,0.073,0.067,0.065,0.063,0.061,0.060,0.056,0.054,0.052,0.050,0.048,0.045,0.043,0.036,0.033,0.026
850,850,0.137,0.096,0.089,0.084,0.077,0.072,0.067,0.066,0.063,0.061,0.059,0.056,0.054,0.051,0.049,0.047,0.044,0.039,0.036,0.028
860,860,0.134,0.095,0.092,0.086,0.080,0.071,0.065,0.063,0.061,0.059,0.056,0.054,0.052,0.050,0.047,0.045,0.042,0.036,0.031,0.025
870,870,0.131,0.095,0.090,0.084,0.078,0.072,0.067,0.065,0.062,0.060,0.058,0.055,0.054,0.051,0.048,0.045,0.041,0.037,0.033,0.026
880,880,0.143,0.095,0.091,0.087,0.081,0.074,0.068,0.064,0.061,0.059,0.057,0.055,0.053,0.050,0.048,0.046,0.043,0.039,0.034,0.026
890,890,0.143,0.104,0.099,0.093,0.086,0.079,0.072,0.069,0.067,0.065,0.061,0.059,0.056,0.054,0.051,0.047,0.044,0.041,0.036,0.027
900,900,0.133,0.101,0.097,0.091,0.082,0.075,0.069,0.065,0.062,0.060,0.057,0.055,0.052,0.050,0.047,0.044,0.041,0.037,0.032,0.025
910,910,0.143,0.103,0.100,0.096,0.091,0.083,0.076,0.070,0.067,0.065,0.063,0.061,0.059,0.056,0.054,0.051,0.048,0.043,0.039,0.031
920,920,0.140,0.099,0.096,0.093,0.086,0.080,0.072,0.065,0.062,0.059,0.058,0.055,0.053,0.051,0.049,0.044,0.041,0.038,0.034,0.026
930,930,0.137,0.100,0.095,0.092,0.086,0.081,0.075,0.066,0.063,0.060,0.058,0.055,0.054,0.051,0.048,0.045,0.043,0.038,0.034,0.026
940,940,0.137,0.104,0.101,0.097,0.093,0.085,0.078,0.071,0.064,0.062,0.060,0.057,0.055,0.051,0.049,0.047,0.044,0.041,0.036,0.029
950,950,0.134,0.099,0.096,0.093,0.089,0.083,0.076,0.069,0.063,0.060,0.058,0.056,0.053,0.051,0.048,0.046,0.043,0.040,0.035,0.026
960,960,0.145,0.106,0.102,0.097,0.091,0.084,0.078,0.071,0.065,0.063,0.059,0.057,0.055,0.053,0.049,0.046,0.043,0.040,0.035,0.027
970,970,0.143,0.105,0.101,0.098,0.090,0.083,0.076,0.069,0.064,0.062,0.060,0.058,0.055,0.053,0.051,0.048,0.045,0.042,0.037,0.030
980,980,0.141,0.106,0.101,0.098,0.092,0.085,0.079,0.070,0.065,0.061,0.059,0.056,0.054,0.052,0.049,0.047,0.044,0.040,0.036,0.027
990,990,0.142,0.102,0.098,0.091,0.085,0.078,0.069,0.065,0.063,0.060,0.058,0.056,0.054,0.052,0.050,0.047,0.044,0.040,0.034,0.025
1000,1000,0.157,0.114,0.109,0.104,0.097,0.090,0.081,0.077,0.073,0.069,0.065,0.063,0.060,0.057,0.054,0.050,0.048,0.044,0.040,0.032
1010,1010,0.134,0.109,0.101,0.095,0.087,0.076,0.069,0.065,0.062,0.060,0.057,0.055,0.052,0.050,0.047,0.045,0.042,0.039,0.034,0.027
1020,1020,0.146,0.111,0.106,0.101,0.093,0.085,0.077,0.068,0.064,0.061,0.058,0.056,0.053,0.051,0.048,0.045,0.041,0.038,0.033,0.026
1030,1030,0.148,0.113,0.109,0.105,0.097,0.089,0.078,0.072,0.068,0.065,0.061,0.058,0.055,0.053,0.050,0.048,0.044,0.041,0.038,0.031
1040,1040,0.160,0.118,0.114,0.111,0.106,0.097,0.087,0.079,0.073,0.069,0.066,0.063,0.061,0.057,0.054,0.051,0.048,0.044,0.039,0.032
1050,1050,0.155,0.120,0.116,0.112,0.107,0.098,0.089,0.079,0.073,0.070,0.068,0.066,0.064,0.060,0.057,0.054,0.050,0.046,0.041,0.034
1060,1060,0.149,0.113,0.109,0.105,0.100,0.090,0.081,0.071,0.065,0.062,0.058,0.056,0.053,0.050,0.048,0.045,0.042,0.039,0.035,0.028
1070,1070,0.153,0.121,0.116,0.111,0.107,0.102,0.094,0.084,0.073,0.068,0.064,0.061,0.058,0.056,0.054,0.049,0.046,0.042,0.038,0.033
1080,1080,0.151,0.112,0.108,0.103,0.101,0.094,0.085,0.078,0.068,0.062,0.059,0.056,0.054,0.052,0.048,0.044,0.041,0.037,0.033,0.027
1090,1090,0.148,0.118,0.113,0.110,0.105,0.098,0.090,0.081,0.071,0.065,0.062,0.060,0.056,0.054,0.050,0.047,0.043,0.040,0.034,0.027
1100,1100,0.143,0.115,0.111,0.106,0.101,0.094,0.084,0.074,0.065,0.062,0.060,0.055,0.053,0.051,0.047,0.045,0.041,0.038,0.033,0.025
1110,1110,0.159,0.122,0.118,0.113,0.109,0.101,0.090,0.081,0.073,0.069,0.066,0.064,0.060,0.057,0.055,0.051,0.046,0.041,0.036,0.030
1120,1120,0.152,0.117,0.112,0.108,0.103,0.096,0.085,0.073,0.065,0.062,0.059,0.057,0.055,0.051,0.049,0.045,0.042,0.038,0.034,0.027
1130,1130,0.153,0.124,0.119,0.115,0.110,0.103,0.091,0.078,0.071,0.068,0.065,0.063,0.061,0.057,0.055,0.051,0.048,0.043,0.039,0.030
1140,1140,0.153,0.119,0.114,0.110,0.106,0.100,0.087,0.076,0.067,0.063,0.060,0.057,0.055,0.053,0.049,0.046,0.042,0.038,0.033,0.028
1150,1150,0.151,0.122,0.117,0.111,0.107,0.099,0.085,0.074,0.066,0.063,0.061,0.058,0.055,0.053,0.050,0.047,0.044,0.040,0.035,0.028
1160,1160,0.153,0.126,0.122,0.118,0.111,0.102,0.089,0.077,0.070,0.065,0.062,0.059,0.057,0.054,0.051,0.048,0.044,0.040,0.035,0.027
1170,1170,0.155,0.128,0.122,0.118,0.110,0.101,0.087,0.075,0.071,0.069,0.065,0.062,0.059,0.056,0.053,0.050,0.046,0.043,0.038,0.030
1180,1180,0.151,0.128,0.122,0.118,0.113,0.108,0.095,0.080,0.071,0.067,0.064,0.061,0.058,0.054,0.052,0.049,0.046,0.043,0.038,0.031
1190,1190,0.161,0.127,0.122,0.116,0.111,0.100,0.086,0.074,0.068,0.065,0.061,0.059,0.056,0.053,0.051,0.047,0.044,0.041,0.036,0.029
1200,1200,0.174,0.135,0.130,0.124,0.117,0.109,0.099,0.090,0.078,0.073,0.069,0.065,0.061,0.058,0.055,0.051,0.049,0.044,0.039,0.031
1210,1210,0.157,0.125,0.120,0.117,0.113,0.107,0.094,0.082,0.069,0.066,0.063,0.059,0.056,0.053,0.049,0.046,0.042,0.039,0.035,0.028
1220,1220,0.158,0.139,0.134,0.129,0.124,0.117,0.106,0.093,0.080,0.075,0.071,0.067,0.061,0.058,0.055,0.052,0.047,0.043,0.038,0.031
1230,1230,0.164,0.136,0.132,0.127,0.122,0.110,0.099,0.087,0.079,0.074,0.070,0.065,0.062,0.059,0.055,0.053,0.049,0.045,0.041,0.033
1240,1240,0.160,0.132,0.126,0.122,0.111,0.096,0.081,0.074,0.071,0.068,0.064,0.061,0.058,0.055,0.052,0.049,0.045,0.042,0.037,0.030
1250,1250,0.153,0.135,0.129,0.125,0.120,0.108,0.091,0.077,0.074,0.071,0.067,0.064,0.060,0.057,0.054,0.050,0.046,0.042,0.037,0.030
1260,1260,0.170,0.137,0.131,0.125,0.115,0.102,0.087,0.077,0.073,0.069,0.066,0.063,0.060,0.057,0.054,0.050,0.047,0.043,0.038,0.032
1270,1270,0.168,0.143,0.137,0.131,0.126,0.114,0.100,0.089,0.079,0.076,0.070,0.064,0.061,0.058,0.055,0.052,0.048,0.044,0.039,0.034
1280,1280,0.165,0.138,0.134,0.129,0.122,0.112,0.099,0.089,0.084,0.080,0.075,0.071,0.067,0.062,0.057,0.054,0.050,0.045,0.040,0.034
1290,1290,0.178,0.147,0.140,0.136,0.125,0.112,0.101,0.090,0.085,0.080,0.076,0.072,0.068,0.064,0.060,0.056,0.051,0.047,0.042,0.035
1300,1300,0.159,0.143,0.136,0.131,0.125,0.110,0.098,0.086,0.078,0.073,0.069,0.064,0.060,0.056,0.052,0.049,0.045,0.042,0.038,0.031
