id,n,p100,p95,p90,p85,p80,p75,p70,p65,p60,p55,p50,p45,p40,p35,p30,p25,p20,p15,p10,p05,p00
360,360,0.147,0.104,0.097,0.094,0.089,0.088,0.086,0.085,0.084,0.083,0.079,0.072,0.068,0.055,0.054,0.054,0.049,0.048,0.041,0.038,0.000
370,370,0.154,0.101,0.098,0.092,0.089,0.088,0.086,0.085,0.084,0.083,0.076,0.075,0.068,0.064,0.055,0.050,0.049,0.044,0.041,0.036,0.000
380,380,0.151,0.106,0.097,0.091,0.089,0.087,0.085,0.084,0.083,0.079,0.075,0.072,0.070,0.064,0.057,0.055,0.053,0.043,0.039,0.036,0.000
390,390,0.152,0.106,0.097,0.091,0.089,0.087,0.086,0.084,0.083,0.079,0.078,0.074,0.070,0.064,0.060,0.056,0.052,0.049,0.040,0.035,0.000
400,400,0.147,0.105,0.094,0.090,0.088,0.086,0.084,0.083,0.082,0.080,0.076,0.074,0.071,0.066,0.059,0.056,0.047,0.045,0.041,0.034,0.000
410,410,0.152,0.115,0.101,0.096,0.091,0.089,0.087,0.085,0.083,0.082,0.076,0.074,0.073,0.069,0.062,0.062,0.057,0.052,0.042,0.038,0.000
420,420,0.146,0.101,0.095,0.089,0.087,0.084,0.082,0.080,0.078,0.074,0.073,0.069,0.061,0.056,0.050,0.049,0.047,0.045,0.039,0.032,0.000
430,430,0.165,0.111,0.100,0.093,0.090,0.087,0.086,0.085,0.083,0.081,0.079,0.077,0.075,0.070,0.064,0.060,0.054,0.052,0.045,0.038,0.000
440,440,0.154,0.110,0.100,0.095,0.090,0.087,0.086,0.083,0.081,0.080,0.078,0.077,0.073,0.071,0.063,0.056,0.053,0.049,0.046,0.036,0.000
450,450,0.153,0.109,0.099,0.094,0.091,0.087,0.084,0.082,0.080,0.079,0.076,0.075,0.072,0.064,0.061,0.055,0.051,0.047,0.043,0.033,0.000
460,460,0.158,0.108,0.099,0.091,0.088,0.085,0.083,0.081,0.079,0.077,0.075,0.074,0.070,0.063,0.058,0.055,0.051,0.045,0.040,0.033,0.000
470,470,0.147,0.102,0.094,0.088,0.085,0.082,0.081,0.078,0.076,0.074,0.071,0.069,0.062,0.061,0.056,0.051,0.048,0.043,0.037,0.031,0.000
480,480,0.151,0.101,0.093,0.087,0.083,0.081,0.078,0.077,0.074,0.071,0.068,0.066,0.063,0.059,0.057,0.051,0.047,0.043,0.036,0.028,0.000
490,490,0.151,0.102,0.093,0.088,0.084,0.081,0.078,0.076,0.074,0.072,0.069,0.064,0.061,0.059,0.052,0.050,0.047,0.040,0.036,0.029,0.000
500,500,0.156,0.105,0.097,0.089,0.085,0.082,0.079,0.077,0.074,0.072,0.070,0.067,0.064,0.062,0.059,0.052,0.049,0.044,0.038,0.028,0.000
