id,n,L1,L2,L3
538,538,12,12,12
540,540,12,12,12
542,542,12,12,12
544,544,11,12,12
546,546,12,12,12
548,548,11,12,12
550,550,11,12,12
552,552,13,12,12
554,554,12,12,12
556,556,12,12,12
558,558,12,12,12
560,560,11,12,12
562,562,12,12,12
564,564,12,14,12
566,566,11,10,12
568,568,12,12,12
570,570,12,12,12
572,572,12,12,12
574,574,11,12,12
576,576,12,12,12
578,578,11,10,12
580,580,12,12,12
582,582,12,12,12
584,584,12,12,12
586,586,12,12,12
588,588,12,12,12
590,590,12,12,12
592,592,12,12,12
594,594,12,12,12
596,596,11,12,15
598,598,12,12,15
600,600,12,12,15
602,602,11,12,15
604,604,12,10,12
606,606,12,12,15
608,608,12,12,12
610,610,12,12,12
612,612,11,12,12
614,614,12,12,12
616,616,12,12,12
618,618,12,12,12
620,620,12,12,12
622,622,13,12,12
624,624,12,12,12
626,626,12,12,15
628,628,12,12,12
630,630,11,12,12
632,632,12,12,15
634,634,12,12,12
636,636,12,12,12
638,638,12,14,12
640,640,12,12,12
642,642,12,12,12
644,644,12,12,12
646,646,12,12,12
648,648,11,14,12
650,650,12,12,12
652,652,13,12,12
654,654,11,12,15
656,656,12,12,15
658,658,12,12,12
660,660,12,12,15
662,662,12,12,12
664,664,12,12,12
666,666,13,14,12
668,668,12,12,12
670,670,12,12,15
672,672,12,14,12
674,674,12,12,12
676,676,13,12,15
678,678,12,12,12
680,680,12,12,15
682,682,12,12,15
684,684,12,12,12
686,686,11,12,15
688,688,12,14,12
690,690,12,14,12
692,692,12,12,15
694,694,12,12,15
696,696,12,12,12
698,698,12,12,12
700,700,12,12,12
702,702,13,12,12
704,704,12,14,12
706,706,12,14,15
708,708,13,12,12
710,710,12,14,12
712,712,12,12,12
714,714,12,14,15
716,716,12,12,12
718,718,12,12,12
720,720,12,12,12
722,722,12,14,12
724,724,12,14,12
726,726,12,12,15
728,728,12,14,12
730,730,13,12,12
732,732,12,12,12
734,734,12,12,12
736,736,12,12,12
738,738,13,12,12
740,740,12,14,15
742,742,12,12,12
744,744,12,12,15
746,746,13,12,12
748,748,12,12,15
750,750,12,12,12
752,752,12,12,15
754,754,12,12,12
756,756,12,12,15
758,758,12,14,12
760,760,12,12,15
762,762,12,12,15
764,764,13,12,15
766,766,12,12,12
768,768,12,14,12
770,770,12,12,12
772,772,12,12,12
774,774,13,14,15
776,776,12,12,12
778,778,12,14,15
780,780,12,14,12
782,782,13,12,15
784,784,12,14,15
786,786,12,12,15
788,788,12,14,12
790,790,13,12,15
792,792,13,12,12
794,794,13,12,15
796,796,13,12,12
798,798,12,14,15
800,800,12,12,12
802,802,13,12,12
804,804,13,12,12
806,806,13,14,12
808,808,12,12,15
810,810,12,12,15
812,812,12,12,12
814,814,12,12,12
816,816,13,14,12
818,818,13,12,12
820,820,12,12,12
822,822,12,14,15
824,824,12,12,15
826,826,13,14,12
828,828,13,14,12
830,830,13,14,15
832,832,12,14,12
834,834,12,14,12
836,836,13,14,12
838,838,13,12,15
840,840,13,14,15
842,842,13,12,12
844,844,13,12,15
846,846,13,12,15
848,848,12,12,12
850,850,12,12,15
852,852,12,12,12
854,854,12,14,12
856,856,12,14,12
858,858,13,14,12
860,860,12,12,12
862,862,13,12,12
864,864,13,12,12
866,866,12,14,12
868,868,13,14,12
870,870,12,12,15
872,872,12,14,15
874,874,12,14,15
876,876,13,12,12
878,878,13,12,15
880,880,12,14,15
882,882,13,14,12
884,884,13,14,15
886,886,13,14,12
888,888,12,12,12
890,890,12,14,12
892,892,13,14,12
894,894,13,12,15
896,896,12,12,15
898,898,13,12,15
900,900,13,12,12
902,902,13,14,15
904,904,13,14,15
906,906,13,14,12
908,908,13,14,12
910,910,13,14,12
912,912,13,14,12
914,914,13,14,15
916,916,12,14,12
918,918,13,12,15
920,920,13,12,15
922,922,12,14,12
924,924,13,12,15
926,926,13,14,15
928,928,13,14,12
930,930,13,14,15
932,932,13,12,15
934,934,13,12,15
936,936,12,12,15
938,938,13,12,15
940,940,13,14,15
942,942,12,14,12
944,944,13,14,15
946,946,13,14,12
948,948,13,14,15
950,950,12,14,15
952,952,12,14,15
954,954,13,14,12
956,956,13,12,15
958,958,13,12,12
960,960,13,12,15
962,962,12,14,15
964,964,13,14,15
966,966,12,14,15
968,968,13,12,15
970,970,12,14,15
972,972,13,14,12
974,974,13,12,12
976,976,13,14,15
978,978,13,14,12
980,980,12,14,15
982,982,13,14,15
984,984,14,14,12
986,986,13,14,12
988,988,12,14,15
990,990,13,12,15
992,992,13,12,12
994,994,13,14,15
996,996,12,14,15
998,998,13,14,15
1000,1000,13,12,15
1002,1002,13,12,15
1004,1004,13,12,15
1006,1006,13,12,12
1008,1008,12,12,12
1010,1010,13,14,12
1012,1012,13,14,12
1014,1014,12,14,15
1016,1016,13,12,12
1018,1018,13,14,15
1020,1020,13,12,12
1022,1022,13,12,12
1024,1024,12,14,15
1026,1026,13,14,12
1028,1028,12,14,15
1030,1030,12,12,15
1032,1032,13,14,15
