id,n,log2(n),log3(n),log4(n)
867,867,9.76,6.16,4.88
868,868,9.76,6.16,4.88
869,869,9.76,6.16,4.88
870,870,9.76,6.16,4.88
871,871,9.77,6.16,4.88
872,872,9.77,6.16,4.88
873,873,9.77,6.16,4.88
874,874,9.77,6.17,4.89
875,875,9.77,6.17,4.89
876,876,9.77,6.17,4.89
877,877,9.78,6.17,4.89
878,878,9.78,6.17,4.89
879,879,9.78,6.17,4.89
880,880,9.78,6.17,4.89
881,881,9.78,6.17,4.89
882,882,9.78,6.17,4.89
883,883,9.79,6.17,4.89
884,884,9.79,6.18,4.89
885,885,9.79,6.18,4.89
886,886,9.79,6.18,4.90
887,887,9.79,6.18,4.90
888,888,9.79,6.18,4.90
889,889,9.80,6.18,4.90
890,890,9.80,6.18,4.90
891,891,9.80,6.18,4.90
892,892,9.80,6.18,4.90
893,893,9.80,6.18,4.90
894,894,9.80,6.19,4.90
895,895,9.81,6.19,4.90
896,896,9.81,6.19,4.90
897,897,9.81,6.19,4.90
898,898,9.81,6.19,4.91
899,899,9.81,6.19,4.91
900,900,9.81,6.19,4.91
901,901,9.82,6.19,4.91
902,902,9.82,6.19,4.91
903,903,9.82,6.19,4.91
904,904,9.82,6.20,4.91
905,905,9.82,6.20,4.91
906,906,9.82,6.20,4.91
907,907,9.82,6.20,4.91
908,908,9.83,6.20,4.91
909,909,9.83,6.20,4.91
910,910,9.83,6.20,4.91
911,911,9.83,6.20,4.92
912,912,9.83,6.20,4.92
913,913,9.83,6.20,4.92
914,914,9.84,6.21,4.92
915,915,9.84,6.21,4.92
916,916,9.84,6.21,4.92
917,917,9.84,6.21,4.92
918,918,9.84,6.21,4.92
919,919,9.84,6.21,4.92
920,920,9.85,6.21,4.92
921,921,9.85,6.21,4.92
922,922,9.85,6.21,4.92
923,923,9.85,6.21,4.93
924,924,9.85,6.22,4.93
925,925,9.85,6.22,4.93
926,926,9.85,6.22,4.93
927,927,9.86,6.22,4.93
928,928,9.86,6.22,4.93
929,929,9.86,6.22,4.93
930,930,9.86,6.22,4.93
931,931,9.86,6.22,4.93
932,932,9.86,6.22,4.93
933,933,9.87,6.22,4.93
934,934,9.87,6.23,4.93
935,935,9.87,6.23,4.93
936,936,9.87,6.23,4.94
937,937,9.87,6.23,4.94
938,938,9.87,6.23,4.94
939,939,9.87,6.23,4.94
940,940,9.88,6.23,4.94
941,941,9.88,6.23,4.94
942,942,9.88,6.23,4.94
943,943,9.88,6.23,4.94
944,944,9.88,6.24,4.94
945,945,9.88,6.24,4.94
946,946,9.89,6.24,4.94
947,947,9.89,6.24,4.94
948,948,9.89,6.24,4.94
949,949,9.89,6.24,4.95
950,950,9.89,6.24,4.95
951,951,9.89,6.24,4.95
952,952,9.89,6.24,4.95
953,953,9.90,6.24,4.95
954,954,9.90,6.24,4.95
955,955,9.90,6.25,4.95
956,956,9.90,6.25,4.95
957,957,9.90,6.25,4.95
958,958,9.90,6.25,4.95
959,959,9.91,6.25,4.95
960,960,9.91,6.25,4.95
961,961,9.91,6.25,4.95
962,962,9.91,6.25,4.95
963,963,9.91,6.25,4.96
964,964,9.91,6.25,4.96
965,965,9.91,6.26,4.96
966,966,9.92,6.26,4.96
967,967,9.92,6.26,4.96
968,968,9.92,6.26,4.96
969,969,9.92,6.26,4.96
970,970,9.92,6.26,4.96
971,971,9.92,6.26,4.96
972,972,9.92,6.26,4.96
973,973,9.93,6.26,4.96
974,974,9.93,6.26,4.96
975,975,9.93,6.26,4.96
976,976,9.93,6.27,4.97
977,977,9.93,6.27,4.97
978,978,9.93,6.27,4.97
979,979,9.94,6.27,4.97
980,980,9.94,6.27,4.97
981,981,9.94,6.27,4.97
982,982,9.94,6.27,4.97
983,983,9.94,6.27,4.97
984,984,9.94,6.27,4.97
985,985,9.94,6.27,4.97
986,986,9.95,6.27,4.97
987,987,9.95,6.28,4.97
988,988,9.95,6.28,4.97
989,989,9.95,6.28,4.97
990,990,9.95,6.28,4.98
991,991,9.95,6.28,4.98
992,992,9.95,6.28,4.98
993,993,9.96,6.28,4.98
994,994,9.96,6.28,4.98
995,995,9.96,6.28,4.98
996,996,9.96,6.28,4.98
997,997,9.96,6.28,4.98
998,998,9.96,6.29,4.98
999,999,9.96,6.29,4.98
1000,1000,9.97,6.29,4.98
1001,1001,9.97,6.29,4.98
1002,1002,9.97,6.29,4.98
1003,1003,9.97,6.29,4.99
1004,1004,9.97,6.29,4.99
1005,1005,9.97,6.29,4.99
1006,1006,9.97,6.29,4.99
1007,1007,9.98,6.29,4.99
1008,1008,9.98,6.29,4.99
1009,1009,9.98,6.30,4.99
1010,1010,9.98,6.30,4.99
1011,1011,9.98,6.30,4.99
1012,1012,9.98,6.30,4.99
1013,1013,9.98,6.30,4.99
1014,1014,9.99,6.30,4.99
1015,1015,9.99,6.30,4.99
1016,1016,9.99,6.30,4.99
1017,1017,9.99,6.30,5.00
1018,1018,9.99,6.30,5.00
1019,1019,9.99,6.30,5.00
1020,1020,9.99,6.31,5.00
1021,1021,10.00,6.31,5.00
1022,1022,10.00,6.31,5.00
1023,1023,10.00,6.31,5.00
1024,1024,10.00,6.31,5.00
1025,1025,10.00,6.31,5.00
1026,1026,10.00,6.31,5.00
1027,1027,10.00,6.31,5.00
1028,1028,10.01,6.31,5.00
1029,1029,10.01,6.31,5.00
1030,1030,10.01,6.31,5.00
1031,1031,10.01,6.32,5.00
1032,1032,10.01,6.32,5.01
1033,1033,10.01,6.32,5.01
1034,1034,10.01,6.32,5.01
1035,1035,10.02,6.32,5.01
1036,1036,10.02,6.32,5.01
1037,1037,10.02,6.32,5.01
1038,1038,10.02,6.32,5.01
1039,1039,10.02,6.32,5.01
1040,1040,10.02,6.32,5.01
1041,1041,10.02,6.32,5.01
1042,1042,10.03,6.33,5.01
1043,1043,10.03,6.33,5.01
1044,1044,10.03,6.33,5.01
1045,1045,10.03,6.33,5.01
1046,1046,10.03,6.33,5.02
1047,1047,10.03,6.33,5.02
1048,1048,10.03,6.33,5.02
1049,1049,10.03,6.33,5.02
1050,1050,10.04,6.33,5.02
1051,1051,10.04,6.33,5.02
1052,1052,10.04,6.33,5.02
1053,1053,10.04,6.33,5.02
1054,1054,10.04,6.34,5.02
1055,1055,10.04,6.34,5.02
1056,1056,10.04,6.34,5.02
1057,1057,10.05,6.34,5.02
1058,1058,10.05,6.34,5.02
1059,1059,10.05,6.34,5.02
1060,1060,10.05,6.34,5.02
1061,1061,10.05,6.34,5.03
1062,1062,10.05,6.34,5.03
1063,1063,10.05,6.34,5.03
1064,1064,10.06,6.34,5.03
1065,1065,10.06,6.35,5.03
1066,1066,10.06,6.35,5.03
1067,1067,10.06,6.35,5.03
1068,1068,10.06,6.35,5.03
1069,1069,10.06,6.35,5.03
1070,1070,10.06,6.35,5.03
1071,1071,10.06,6.35,5.03
1072,1072,10.07,6.35,5.03
1073,1073,10.07,6.35,5.03
1074,1074,10.07,6.35,5.03
1075,1075,10.07,6.35,5.04
1076,1076,10.07,6.35,5.04
1077,1077,10.07,6.36,5.04
1078,1078,10.07,6.36,5.04
1079,1079,10.08,6.36,5.04
1080,1080,10.08,6.36,5.04
1081,1081,10.08,6.36,5.04
1082,1082,10.08,6.36,5.04
1083,1083,10.08,6.36,5.04
1084,1084,10.08,6.36,5.04
1085,1085,10.08,6.36,5.04
1086,1086,10.08,6.36,5.04
1087,1087,10.09,6.36,5.04
1088,1088,10.09,6.36,5.04
1089,1089,10.09,6.37,5.04
1090,1090,10.09,6.37,5.05
1091,1091,10.09,6.37,5.05
1092,1092,10.09,6.37,5.05
1093,1093,10.09,6.37,5.05
1094,1094,10.10,6.37,5.05
1095,1095,10.10,6.37,5.05
1096,1096,10.10,6.37,5.05
1097,1097,10.10,6.37,5.05
1098,1098,10.10,6.37,5.05
1099,1099,10.10,6.37,5.05
1100,1100,10.10,6.37,5.05
1101,1101,10.10,6.38,5.05
1102,1102,10.11,6.38,5.05
1103,1103,10.11,6.38,5.05
1104,1104,10.11,6.38,5.05
1105,1105,10.11,6.38,5.05
1106,1106,10.11,6.38,5.06
1107,1107,10.11,6.38,5.06
1108,1108,10.11,6.38,5.06
1109,1109,10.12,6.38,5.06
1110,1110,10.12,6.38,5.06
1111,1111,10.12,6.38,5.06
1112,1112,10.12,6.38,5.06
1113,1113,10.12,6.39,5.06
1114,1114,10.12,6.39,5.06
1115,1115,10.12,6.39,5.06
1116,1116,10.12,6.39,5.06
1117,1117,10.13,6.39,5.06
1118,1118,10.13,6.39,5.06
1119,1119,10.13,6.39,5.06
1120,1120,10.13,6.39,5.06
1121,1121,10.13,6.39,5.07
1122,1122,10.13,6.39,5.07
1123,1123,10.13,6.39,5.07
1124,1124,10.13,6.39,5.07
1125,1125,10.14,6.39,5.07
1126,1126,10.14,6.40,5.07
1127,1127,10.14,6.40,5.07
1128,1128,10.14,6.40,5.07
1129,1129,10.14,6.40,5.07
1130,1130,10.14,6.40,5.07
1131,1131,10.14,6.40,5.07
1132,1132,10.14,6.40,5.07
1133,1133,10.15,6.40,5.07
1134,1134,10.15,6.40,5.07
1135,1135,10.15,6.40,5.07
1136,1136,10.15,6.40,5.07
1137,1137,10.15,6.40,5.08
1138,1138,10.15,6.41,5.08
1139,1139,10.15,6.41,5.08
1140,1140,10.15,6.41,5.08
1141,1141,10.16,6.41,5.08
1142,1142,10.16,6.41,5.08
1143,1143,10.16,6.41,5.08
1144,1144,10.16,6.41,5.08
1145,1145,10.16,6.41,5.08
1146,1146,10.16,6.41,5.08
1147,1147,10.16,6.41,5.08
1148,1148,10.16,6.41,5.08
1149,1149,10.17,6.41,5.08
1150,1150,10.17,6.41,5.08
1151,1151,10.17,6.42,5.08
1152,1152,10.17,6.42,5.08
1153,1153,10.17,6.42,5.09
1154,1154,10.17,6.42,5.09
1155,1155,10.17,6.42,5.09
1156,1156,10.17,6.42,5.09
1157,1157,10.18,6.42,5.09
1158,1158,10.18,6.42,5.09
1159,1159,10.18,6.42,5.09
1160,1160,10.18,6.42,5.09
1161,1161,10.18,6.42,5.09
1162,1162,10.18,6.42,5.09
1163,1163,10.18,6.43,5.09
1164,1164,10.18,6.43,5.09
1165,1165,10.19,6.43,5.09
1166,1166,10.19,6.43,5.09
1167,1167,10.19,6.43,5.09
1168,1168,10.19,6.43,5.09
1169,1169,10.19,6.43,5.10
1170,1170,10.19,6.43,5.10
1171,1171,10.19,6.43,5.10
1172,1172,10.19,6.43,5.10
1173,1173,10.20,6.43,5.10
1174,1174,10.20,6.43,5.10
1175,1175,10.20,6.43,5.10
1176,1176,10.20,6.44,5.10
1177,1177,10.20,6.44,5.10
1178,1178,10.20,6.44,5.10
1179,1179,10.20,6.44,5.10
1180,1180,10.20,6.44,5.10
1181,1181,10.21,6.44,5.10
1182,1182,10.21,6.44,5.10
1183,1183,10.21,6.44,5.10
1184,1184,10.21,6.44,5.10
1185,1185,10.21,6.44,5.11
1186,1186,10.21,6.44,5.11
1187,1187,10.21,6.44,5.11
1188,1188,10.21,6.44,5.11
1189,1189,10.22,6.45,5.11
1190,1190,10.22,6.45,5.11
1191,1191,10.22,6.45,5.11
1192,1192,10.22,6.45,5.11
1193,1193,10.22,6.45,5.11
1194,1194,10.22,6.45,5.11
1195,1195,10.22,6.45,5.11
1196,1196,10.22,6.45,5.11
1197,1197,10.23,6.45,5.11
1198,1198,10.23,6.45,5.11
1199,1199,10.23,6.45,5.11
