id,n,log2(n),log3(n),log4(n)
199,199,7.64,4.82,3.82
200,200,7.64,4.82,3.82
201,201,7.65,4.83,3.83
202,202,7.66,4.83,3.83
203,203,7.67,4.84,3.83
204,204,7.67,4.84,3.84
205,205,7.68,4.85,3.84
206,206,7.69,4.85,3.84
207,207,7.69,4.85,3.85
208,208,7.70,4.86,3.85
209,209,7.71,4.86,3.85
210,210,7.71,4.87,3.86
211,211,7.72,4.87,3.86
212,212,7.73,4.88,3.86
213,213,7.73,4.88,3.87
214,214,7.74,4.88,3.87
215,215,7.75,4.89,3.87
216,216,7.75,4.89,3.88
217,217,7.76,4.90,3.88
218,218,7.77,4.90,3.88
219,219,7.77,4.91,3.89
220,220,7.78,4.91,3.89
221,221,7.79,4.91,3.89
222,222,7.79,4.92,3.90
223,223,7.80,4.92,3.90
224,224,7.81,4.93,3.90
225,225,7.81,4.93,3.91
226,226,7.82,4.93,3.91
227,227,7.83,4.94,3.91
228,228,7.83,4.94,3.92
229,229,7.84,4.95,3.92
230,230,7.85,4.95,3.92
231,231,7.85,4.95,3.93
232,232,7.86,4.96,3.93
233,233,7.86,4.96,3.93
234,234,7.87,4.97,3.94
235,235,7.88,4.97,3.94
236,236,7.88,4.97,3.94
237,237,7.89,4.98,3.94
238,238,7.89,4.98,3.95
239,239,7.90,4.98,3.95
240,240,7.91,4.99,3.95
241,241,7.91,4.99,3.96
242,242,7.92,5.00,3.96
243,243,7.92,5.00,3.96
244,244,7.93,5.00,3.97
245,245,7.94,5.01,3.97
246,246,7.94,5.01,3.97
247,247,7.95,5.01,3.97
248,248,7.95,5.02,3.98
249,249,7.96,5.02,3.98
250,250,7.97,5.03,3.98
251,251,7.97,5.03,3.99
252,252,7.98,5.03,3.99
253,253,7.98,5.04,3.99
254,254,7.99,5.04,3.99
255,255,7.99,5.04,4.00
256,256,8.00,5.05,4.00
257,257,8.01,5.05,4.00
258,258,8.01,5.05,4.01
259,259,8.02,5.06,4.01
260,260,8.02,5.06,4.01
261,261,8.03,5.07,4.01
262,262,8.03,5.07,4.02
263,263,8.04,5.07,4.02
264,264,8.04,5.08,4.02
265,265,8.05,5.08,4.02
266,266,8.06,5.08,4.03
267,267,8.06,5.09,4.03
268,268,8.07,5.09,4.03
269,269,8.07,5.09,4.04
270,270,8.08,5.10,4.04
271,271,8.08,5.10,4.04
272,272,8.09,5.10,4.04
273,273,8.09,5.11,4.05
274,274,8.10,5.11,4.05
275,275,8.10,5.11,4.05
276,276,8.11,5.12,4.05
277,277,8.11,5.12,4.06
278,278,8.12,5.12,4.06
279,279,8.12,5.13,4.06
280,280,8.13,5.13,4.06
281,281,8.13,5.13,4.07
282,282,8.14,5.14,4.07
283,283,8.14,5.14,4.07
284,284,8.15,5.14,4.07
285,285,8.15,5.15,4.08
286,286,8.16,5.15,4.08
287,287,8.16,5.15,4.08
288,288,8.17,5.15,4.08
289,289,8.17,5.16,4.09
290,290,8.18,5.16,4.09
