id,n,L
533,533,15
534,534,15
535,535,15
536,536,15
537,537,15
538,538,15
539,539,15
540,540,15
541,541,15
542,542,15
543,543,15
544,544,12
545,545,15
546,546,12
547,547,15
548,548,15
549,549,15
550,550,15
551,551,15
552,552,15
553,553,15
554,554,15
555,555,15
556,556,15
557,557,12
558,558,15
559,559,15
560,560,15
561,561,15
562,562,15
563,563,15
564,564,15
565,565,15
566,566,15
567,567,15
568,568,15
569,569,15
570,570,15
571,571,15
572,572,15
573,573,15
574,574,15
575,575,12
576,576,15
577,577,15
578,578,15
579,579,15
580,580,15
581,581,15
582,582,15
583,583,15
584,584,15
585,585,15
586,586,15
587,587,15
588,588,15
589,589,15
590,590,15
591,591,15
592,592,15
593,593,15
594,594,15
595,595,15
596,596,15
597,597,15
598,598,15
599,599,15
600,600,15
601,601,15
602,602,15
603,603,15
604,604,15
605,605,15
606,606,15
607,607,15
608,608,15
609,609,15
610,610,15
611,611,15
612,612,15
613,613,15
614,614,15
615,615,15
616,616,15
617,617,15
618,618,18
619,619,15
620,620,15
621,621,15
622,622,15
623,623,15
624,624,15
625,625,15
626,626,15
627,627,18
628,628,15
629,629,15
630,630,15
631,631,15
632,632,15
633,633,15
634,634,15
635,635,15
636,636,15
637,637,15
638,638,15
639,639,15
640,640,15
641,641,15
642,642,15
643,643,15
644,644,15
645,645,15
646,646,15
647,647,15
648,648,15
649,649,15
650,650,15
651,651,15
652,652,15
653,653,15
654,654,15
655,655,15
656,656,15
657,657,15
658,658,15
659,659,15
660,660,15
661,661,15
662,662,15
663,663,15
664,664,15
665,665,15
666,666,15
667,667,15
668,668,15
669,669,15
670,670,15
671,671,18
672,672,15
673,673,15
674,674,15
675,675,15
676,676,15
677,677,15
678,678,15
679,679,15
680,680,15
681,681,15
682,682,15
683,683,15
684,684,15
685,685,15
686,686,18
687,687,18
688,688,15
689,689,18
690,690,15
691,691,18
692,692,15
693,693,15
694,694,15
695,695,15
696,696,15
697,697,15
698,698,15
699,699,15
700,700,15
701,701,15
702,702,18
703,703,15
704,704,18
705,705,15
706,706,15
707,707,18
708,708,15
709,709,15
710,710,15
711,711,15
712,712,15
713,713,18
714,714,18
715,715,15
716,716,15
717,717,18
718,718,15
719,719,18
720,720,15
721,721,18
722,722,15
723,723,15
724,724,15
725,725,15
726,726,15
727,727,15
728,728,15
729,729,18
730,730,15
731,731,15
732,732,15
733,733,15
734,734,18
735,735,15
736,736,18
737,737,15
738,738,15
739,739,15
740,740,18
741,741,15
742,742,18
743,743,15
744,744,18
745,745,15
746,746,18
747,747,18
748,748,18
749,749,18
750,750,18
751,751,18
752,752,18
753,753,15
754,754,18
755,755,18
756,756,18
757,757,18
758,758,18
759,759,18
760,760,18
761,761,18
