id,n,L
399,399,17.28
400,400,17.29
401,401,17.29
402,402,17.30
403,403,17.31
404,404,17.32
405,405,17.32
406,406,17.33
407,407,17.34
408,408,17.34
409,409,17.35
410,410,17.36
411,411,17.37
412,412,17.37
413,413,17.38
414,414,17.39
415,415,17.39
416,416,17.40
417,417,17.41
418,418,17.41
419,419,17.42
420,420,17.43
421,421,17.44
422,422,17.44
423,423,17.45
424,424,17.46
425,425,17.46
426,426,17.47
427,427,17.48
428,428,17.48
429,429,17.49
430,430,17.50
431,431,17.50
432,432,17.51
433,433,17.52
434,434,17.52
435,435,17.53
436,436,17.54
437,437,17.54
438,438,17.55
439,439,17.56
440,440,17.56
441,441,17.57
442,442,17.58
443,443,17.58
444,444,17.59
445,445,17.60
446,446,17.60
447,447,17.61
448,448,17.61
449,449,17.62
450,450,17.63
451,451,17.63
452,452,17.64
453,453,17.65
454,454,17.65
455,455,17.66
456,456,17.67
457,457,17.67
458,458,17.68
459,459,17.68
460,460,17.69
461,461,17.70
462,462,17.70
463,463,17.71
464,464,17.72
465,465,17.72
466,466,17.73
467,467,17.73
468,468,17.74
469,469,17.75
470,470,17.75
471,471,17.76
472,472,17.77
473,473,17.77
474,474,17.78
475,475,17.78
476,476,17.79
477,477,17.80
478,478,17.80
479,479,17.81
480,480,17.81
481,481,17.82
482,482,17.83
483,483,17.83
484,484,17.84
485,485,17.84
486,486,17.85
487,487,17.86
488,488,17.86
489,489,17.87
490,490,17.87
491,491,17.88
492,492,17.89
493,493,17.89
494,494,17.90
495,495,17.90
496,496,17.91
497,497,17.91
498,498,17.92
499,499,17.93
500,500,17.93
501,501,17.94
502,502,17.94
503,503,17.95
504,504,17.95
505,505,17.96
506,506,17.97
507,507,17.97
508,508,17.98
509,509,17.98
510,510,17.99
511,511,17.99
512,512,18.00
513,513,18.01
514,514,18.01
515,515,18.02
516,516,18.02
517,517,18.03
518,518,18.03
519,519,18.04
520,520,18.04
521,521,18.05
522,522,18.06
523,523,18.06
524,524,18.07
525,525,18.07
526,526,18.08
527,527,18.08
528,528,18.09
529,529,18.09
530,530,18.10
531,531,18.11
532,532,18.11
533,533,18.12
534,534,18.12
535,535,18.13
536,536,18.13
537,537,18.14
538,538,18.14
539,539,18.15
540,540,18.15
541,541,18.16
542,542,18.16
543,543,18.17
544,544,18.17
545,545,18.18
546,546,18.19
547,547,18.19
548,548,18.20
549,549,18.20
550,550,18.21
551,551,18.21
552,552,18.22
553,553,18.22
554,554,18.23
555,555,18.23
556,556,18.24
557,557,18.24
558,558,18.25
559,559,18.25
560,560,18.26
561,561,18.26
562,562,18.27
563,563,18.27
564,564,18.28
565,565,18.28
566,566,18.29
567,567,18.29
568,568,18.30
569,569,18.30
570,570,18.31
571,571,18.31
572,572,18.32
573,573,18.32
574,574,18.33
575,575,18.33
576,576,18.34
577,577,18.34
578,578,18.35
579,579,18.35
580,580,18.36
581,581,18.36
582,582,18.37
583,583,18.37
584,584,18.38
585,585,18.38
586,586,18.39
587,587,18.39
588,588,18.40
589,589,18.40
590,590,18.41
591,591,18.41
592,592,18.42
593,593,18.42
594,594,18.43
595,595,18.43
596,596,18.44
597,597,18.44
598,598,18.45
599,599,18.45
600,600,18.46
601,601,18.46
602,602,18.47
603,603,18.47
604,604,18.48
605,605,18.48
606,606,18.49
607,607,18.49
608,608,18.50
609,609,18.50
610,610,18.51
611,611,18.51
612,612,18.51
613,613,18.52
614,614,18.52
615,615,18.53
616,616,18.53
617,617,18.54
618,618,18.54
619,619,18.55
620,620,18.55
621,621,18.56
622,622,18.56
623,623,18.57
624,624,18.57
625,625,18.58
626,626,18.58
627,627,18.58
628,628,18.59
629,629,18.59
630,630,18.60
631,631,18.60
632,632,18.61
633,633,18.61
634,634,18.62
635,635,18.62
636,636,18.63
637,637,18.63
638,638,18.63
639,639,18.64
640,640,18.64
641,641,18.65
642,642,18.65
643,643,18.66
644,644,18.66
645,645,18.67
646,646,18.67
647,647,18.68
648,648,18.68
649,649,18.68
650,650,18.69
651,651,18.69
652,652,18.70
653,653,18.70
654,654,18.71
655,655,18.71
656,656,18.72
657,657,18.72
658,658,18.72
659,659,18.73
660,660,18.73
661,661,18.74
662,662,18.74
663,663,18.75
664,664,18.75
665,665,18.75
666,666,18.76
667,667,18.76
668,668,18.77
669,669,18.77
670,670,18.78
671,671,18.78
672,672,18.78
673,673,18.79
674,674,18.79
675,675,18.80
676,676,18.80
677,677,18.81
678,678,18.81
679,679,18.81
680,680,18.82
681,681,18.82
682,682,18.83
683,683,18.83
684,684,18.84
685,685,18.84
686,686,18.84
687,687,18.85
688,688,18.85
689,689,18.86
690,690,18.86
691,691,18.87
692,692,18.87
693,693,18.87
694,694,18.88
695,695,18.88
696,696,18.89
697,697,18.89
698,698,18.89
699,699,18.90
700,700,18.90
701,701,18.91
702,702,18.91
703,703,18.91
704,704,18.92
705,705,18.92
706,706,18.93
707,707,18.93
708,708,18.94
709,709,18.94
710,710,18.94
711,711,18.95
712,712,18.95
713,713,18.96
714,714,18.96
715,715,18.96
716,716,18.97
717,717,18.97
718,718,18.98
719,719,18.98
720,720,18.98
721,721,18.99
722,722,18.99
723,723,19.00
724,724,19.00
725,725,19.00
726,726,19.01
727,727,19.01
728,728,19.02
729,729,19.02
730,730,19.02
731,731,19.03
732,732,19.03
733,733,19.04
734,734,19.04
735,735,19.04
736,736,19.05
737,737,19.05
738,738,19.05
739,739,19.06
740,740,19.06
741,741,19.07
742,742,19.07
743,743,19.07
744,744,19.08
745,745,19.08
746,746,19.09
747,747,19.09
748,748,19.09
749,749,19.10
750,750,19.10
751,751,19.11
752,752,19.11
753,753,19.11
754,754,19.12
755,755,19.12
756,756,19.12
757,757,19.13
758,758,19.13
759,759,19.14
760,760,19.14
761,761,19.14
762,762,19.15
763,763,19.15
764,764,19.15
765,765,19.16
766,766,19.16
767,767,19.17
768,768,19.17
769,769,19.17
770,770,19.18
771,771,19.18
772,772,19.18
773,773,19.19
774,774,19.19
775,775,19.20
776,776,19.20
777,777,19.20
778,778,19.21
779,779,19.21
780,780,19.21
781,781,19.22
782,782,19.22
783,783,19.23
784,784,19.23
785,785,19.23
786,786,19.24
787,787,19.24
788,788,19.24
789,789,19.25
790,790,19.25
791,791,19.26
792,792,19.26
793,793,19.26
794,794,19.27
795,795,19.27
796,796,19.27
797,797,19.28
798,798,19.28
799,799,19.28
800,800,19.29
801,801,19.29
802,802,19.29
803,803,19.30
804,804,19.30
805,805,19.31
806,806,19.31
807,807,19.31
808,808,19.32
809,809,19.32
810,810,19.32
811,811,19.33
812,812,19.33
813,813,19.33
814,814,19.34
815,815,19.34
816,816,19.34
817,817,19.35
818,818,19.35
819,819,19.36
820,820,19.36
821,821,19.36
822,822,19.37
823,823,19.37
824,824,19.37
825,825,19.38
826,826,19.38
827,827,19.38
828,828,19.39
829,829,19.39
830,830,19.39
831,831,19.40
832,832,19.40
833,833,19.40
834,834,19.41
835,835,19.41
836,836,19.41
837,837,19.42
838,838,19.42
839,839,19.43
840,840,19.43
841,841,19.43
842,842,19.44
843,843,19.44
844,844,19.44
845,845,19.45
846,846,19.45
847,847,19.45
848,848,19.46
849,849,19.46
850,850,19.46
851,851,19.47
852,852,19.47
853,853,19.47
854,854,19.48
855,855,19.48
856,856,19.48
857,857,19.49
858,858,19.49
859,859,19.49
860,860,19.50
861,861,19.50
862,862,19.50
863,863,19.51
864,864,19.51
865,865,19.51
866,866,19.52
867,867,19.52
868,868,19.52
869,869,19.53
870,870,19.53
871,871,19.53
872,872,19.54
873,873,19.54
874,874,19.54
875,875,19.55
876,876,19.55
877,877,19.55
878,878,19.56
879,879,19.56
880,880,19.56
881,881,19.57
882,882,19.57
883,883,19.57
884,884,19.58
885,885,19.58
886,886,19.58
887,887,19.59
888,888,19.59
889,889,19.59
890,890,19.60
891,891,19.60
892,892,19.60
893,893,19.61
894,894,19.61
895,895,19.61
896,896,19.61
897,897,19.62
898,898,19.62
899,899,19.62
900,900,19.63
901,901,19.63
902,902,19.63
903,903,19.64
904,904,19.64
905,905,19.64
906,906,19.65
907,907,19.65
908,908,19.65
909,909,19.66
910,910,19.66
911,911,19.66
912,912,19.67
913,913,19.67
914,914,19.67
915,915,19.68
916,916,19.68
917,917,19.68
918,918,19.68
919,919,19.69
920,920,19.69
921,921,19.69
922,922,19.70
923,923,19.70
924,924,19.70
925,925,19.71
926,926,19.71
927,927,19.71
928,928,19.72
929,929,19.72
930,930,19.72
931,931,19.73
932,932,19.73
933,933,19.73
934,934,19.73
935,935,19.74
936,936,19.74
937,937,19.74
938,938,19.75
939,939,19.75
940,940,19.75
941,941,19.76
942,942,19.76
943,943,19.76
944,944,19.77
945,945,19.77
946,946,19.77
947,947,19.77
948,948,19.78
949,949,19.78
950,950,19.78
951,951,19.79
952,952,19.79
953,953,19.79
954,954,19.80
955,955,19.80
956,956,19.80
