id,n,L
399,399,14.69
400,400,14.69
401,401,14.70
402,402,14.71
403,403,14.71
404,404,14.72
405,405,14.73
406,406,14.73
407,407,14.74
408,408,14.74
409,409,14.75
410,410,14.76
411,411,14.76
412,412,14.77
413,413,14.77
414,414,14.78
415,415,14.78
416,416,14.79
417,417,14.80
418,418,14.80
419,419,14.81
420,420,14.81
421,421,14.82
422,422,14.83
423,423,14.83
424,424,14.84
425,425,14.84
426,426,14.85
427,427,14.85
428,428,14.86
429,429,14.87
430,430,14.87
431,431,14.88
432,432,14.88
433,433,14.89
434,434,14.89
435,435,14.90
436,436,14.91
437,437,14.91
438,438,14.92
439,439,14.92
440,440,14.93
441,441,14.93
442,442,14.94
443,443,14.94
444,444,14.95
445,445,14.96
446,446,14.96
447,447,14.97
448,448,14.97
449,449,14.98
450,450,14.98
451,451,14.99
452,452,14.99
453,453,15.00
454,454,15.01
455,455,15.01
456,456,15.02
457,457,15.02
458,458,15.03
459,459,15.03
460,460,15.04
461,461,15.04
462,462,15.05
463,463,15.05
464,464,15.06
465,465,15.06
466,466,15.07
467,467,15.07
468,468,15.08
469,469,15.08
470,470,15.09
471,471,15.10
472,472,15.10
473,473,15.11
474,474,15.11
475,475,15.12
476,476,15.12
477,477,15.13
478,478,15.13
479,479,15.14
480,480,15.14
481,481,15.15
482,482,15.15
483,483,15.16
484,484,15.16
485,485,15.17
486,486,15.17
487,487,15.18
488,488,15.18
489,489,15.19
490,490,15.19
491,491,15.20
492,492,15.20
493,493,15.21
494,494,15.21
495,495,15.22
496,496,15.22
497,497,15.23
498,498,15.23
499,499,15.24
500,500,15.24
501,501,15.25
502,502,15.25
503,503,15.26
504,504,15.26
505,505,15.27
506,506,15.27
507,507,15.28
508,508,15.28
509,509,15.29
510,510,15.29
511,511,15.30
512,512,15.30
513,513,15.30
514,514,15.31
515,515,15.31
516,516,15.32
517,517,15.32
518,518,15.33
519,519,15.33
520,520,15.34
521,521,15.34
522,522,15.35
523,523,15.35
524,524,15.36
525,525,15.36
526,526,15.37
527,527,15.37
528,528,15.38
529,529,15.38
530,530,15.38
531,531,15.39
532,532,15.39
533,533,15.40
534,534,15.40
535,535,15.41
536,536,15.41
537,537,15.42
538,538,15.42
539,539,15.43
540,540,15.43
541,541,15.44
542,542,15.44
543,543,15.44
544,544,15.45
545,545,15.45
546,546,15.46
547,547,15.46
548,548,15.47
549,549,15.47
550,550,15.48
551,551,15.48
552,552,15.48
553,553,15.49
554,554,15.49
555,555,15.50
556,556,15.50
557,557,15.51
558,558,15.51
559,559,15.52
560,560,15.52
561,561,15.52
562,562,15.53
563,563,15.53
564,564,15.54
565,565,15.54
566,566,15.55
567,567,15.55
568,568,15.55
569,569,15.56
570,570,15.56
571,571,15.57
572,572,15.57
573,573,15.58
574,574,15.58
575,575,15.58
576,576,15.59
577,577,15.59
578,578,15.60
579,579,15.60
580,580,15.61
581,581,15.61
582,582,15.61
583,583,15.62
584,584,15.62
585,585,15.63
586,586,15.63
587,587,15.64
588,588,15.64
589,589,15.64
590,590,15.65
591,591,15.65
592,592,15.66
593,593,15.66
594,594,15.66
595,595,15.67
596,596,15.67
597,597,15.68
598,598,15.68
599,599,15.68
600,600,15.69
601,601,15.69
602,602,15.70
603,603,15.70
604,604,15.71
605,605,15.71
606,606,15.71
607,607,15.72
608,608,15.72
609,609,15.73
610,610,15.73
611,611,15.73
612,612,15.74
613,613,15.74
614,614,15.75
615,615,15.75
616,616,15.75
617,617,15.76
618,618,15.76
619,619,15.77
620,620,15.77
621,621,15.77
622,622,15.78
623,623,15.78
624,624,15.79
625,625,15.79
626,626,15.79
627,627,15.80
628,628,15.80
629,629,15.80
630,630,15.81
631,631,15.81
632,632,15.82
633,633,15.82
634,634,15.82
635,635,15.83
636,636,15.83
637,637,15.84
638,638,15.84
639,639,15.84
640,640,15.85
641,641,15.85
642,642,15.85
643,643,15.86
644,644,15.86
645,645,15.87
646,646,15.87
647,647,15.87
648,648,15.88
649,649,15.88
650,650,15.89
651,651,15.89
652,652,15.89
653,653,15.90
654,654,15.90
655,655,15.90
656,656,15.91
657,657,15.91
658,658,15.92
659,659,15.92
660,660,15.92
661,661,15.93
662,662,15.93
663,663,15.93
664,664,15.94
665,665,15.94
666,666,15.94
667,667,15.95
668,668,15.95
669,669,15.96
670,670,15.96
671,671,15.96
672,672,15.97
673,673,15.97
674,674,15.97
675,675,15.98
676,676,15.98
677,677,15.99
