id,n,L
399,399,12.96
400,400,12.97
401,401,12.97
402,402,12.98
403,403,12.98
404,404,12.99
405,405,12.99
406,406,13.00
407,407,13.00
408,408,13.01
409,409,13.01
410,410,13.02
411,411,13.02
412,412,13.03
413,413,13.03
414,414,13.04
415,415,13.05
416,416,13.05
417,417,13.06
418,418,13.06
419,419,13.07
420,420,13.07
421,421,13.08
422,422,13.08
423,423,13.09
424,424,13.09
425,425,13.10
426,426,13.10
427,427,13.11
428,428,13.11
429,429,13.12
430,430,13.12
431,431,13.13
432,432,13.13
433,433,13.14
434,434,13.14
435,435,13.15
436,436,13.15
437,437,13.16
438,438,13.16
439,439,13.17
440,440,13.17
441,441,13.18
442,442,13.18
443,443,13.19
444,444,13.19
445,445,13.20
446,446,13.20
447,447,13.21
448,448,13.21
449,449,13.22
450,450,13.22
451,451,13.23
452,452,13.23
453,453,13.24
454,454,13.24
455,455,13.24
456,456,13.25
457,457,13.25
458,458,13.26
459,459,13.26
460,460,13.27
461,461,13.27
462,462,13.28
463,463,13.28
464,464,13.29
465,465,13.29
466,466,13.30
467,467,13.30
468,468,13.31
469,469,13.31
470,470,13.31
471,471,13.32
472,472,13.32
473,473,13.33
474,474,13.33
475,475,13.34
476,476,13.34
477,477,13.35
478,478,13.35
479,479,13.36
480,480,13.36
481,481,13.36
482,482,13.37
483,483,13.37
484,484,13.38
485,485,13.38
486,486,13.39
487,487,13.39
488,488,13.40
489,489,13.40
490,490,13.40
491,491,13.41
492,492,13.41
493,493,13.42
494,494,13.42
495,495,13.43
496,496,13.43
497,497,13.44
498,498,13.44
499,499,13.44
500,500,13.45
501,501,13.45
502,502,13.46
503,503,13.46
504,504,13.47
505,505,13.47
506,506,13.47
507,507,13.48
508,508,13.48
509,509,13.49
510,510,13.49
511,511,13.50
512,512,13.50
513,513,13.50
514,514,13.51
515,515,13.51
516,516,13.52
517,517,13.52
518,518,13.53
519,519,13.53
520,520,13.53
521,521,13.54
522,522,13.54
523,523,13.55
524,524,13.55
525,525,13.55
526,526,13.56
527,527,13.56
528,528,13.57
529,529,13.57
530,530,13.57
531,531,13.58
532,532,13.58
533,533,13.59
534,534,13.59
535,535,13.60
536,536,13.60
537,537,13.60
538,538,13.61
539,539,13.61
540,540,13.62
541,541,13.62
542,542,13.62
543,543,13.63
544,544,13.63
545,545,13.64
546,546,13.64
547,547,13.64
548,548,13.65
549,549,13.65
550,550,13.65
551,551,13.66
552,552,13.66
553,553,13.67
554,554,13.67
555,555,13.67
556,556,13.68
557,557,13.68
558,558,13.69
559,559,13.69
560,560,13.69
561,561,13.70
562,562,13.70
563,563,13.71
564,564,13.71
565,565,13.71
566,566,13.72
567,567,13.72
568,568,13.72
569,569,13.73
570,570,13.73
571,571,13.74
572,572,13.74
573,573,13.74
574,574,13.75
575,575,13.75
576,576,13.75
577,577,13.76
578,578,13.76
579,579,13.77
580,580,13.77
581,581,13.77
582,582,13.78
583,583,13.78
584,584,13.78
585,585,13.79
586,586,13.79
587,587,13.80
588,588,13.80
589,589,13.80
590,590,13.81
591,591,13.81
592,592,13.81
593,593,13.82
594,594,13.82
595,595,13.83
596,596,13.83
597,597,13.83
598,598,13.84
599,599,13.84
600,600,13.84
601,601,13.85
602,602,13.85
603,603,13.85
604,604,13.86
605,605,13.86
606,606,13.86
607,607,13.87
608,608,13.87
609,609,13.88
610,610,13.88
611,611,13.88
612,612,13.89
613,613,13.89
614,614,13.89
615,615,13.90
616,616,13.90
617,617,13.90
618,618,13.91
619,619,13.91
620,620,13.91
621,621,13.92
622,622,13.92
623,623,13.92
624,624,13.93
625,625,13.93
626,626,13.94
627,627,13.94
628,628,13.94
629,629,13.95
630,630,13.95
631,631,13.95
632,632,13.96
633,633,13.96
634,634,13.96
635,635,13.97
636,636,13.97
637,637,13.97
638,638,13.98
639,639,13.98
640,640,13.98
641,641,13.99
642,642,13.99
643,643,13.99
644,644,14.00
645,645,14.00
646,646,14.00
647,647,14.01
648,648,14.01
649,649,14.01
650,650,14.02
651,651,14.02
652,652,14.02
653,653,14.03
654,654,14.03
655,655,14.03
656,656,14.04
657,657,14.04
658,658,14.04
659,659,14.05
660,660,14.05
661,661,14.05
662,662,14.06
663,663,14.06
664,664,14.06
665,665,14.07
666,666,14.07
667,667,14.07
668,668,14.08
669,669,14.08
670,670,14.08
671,671,14.09
672,672,14.09
673,673,14.09
674,674,14.09
675,675,14.10
676,676,14.10
677,677,14.10
678,678,14.11
679,679,14.11
680,680,14.11
681,681,14.12
682,682,14.12
683,683,14.12
684,684,14.13
685,685,14.13
686,686,14.13
687,687,14.14
688,688,14.14
689,689,14.14
690,690,14.15
691,691,14.15
692,692,14.15
693,693,14.16
694,694,14.16
695,695,14.16
696,696,14.16
697,697,14.17
698,698,14.17
699,699,14.17
700,700,14.18
701,701,14.18
702,702,14.18
703,703,14.19
704,704,14.19
705,705,14.19
706,706,14.20
707,707,14.20
708,708,14.20
709,709,14.20
710,710,14.21
711,711,14.21
712,712,14.21
713,713,14.22
714,714,14.22
715,715,14.22
716,716,14.23
717,717,14.23
718,718,14.23
719,719,14.23
720,720,14.24
721,721,14.24
722,722,14.24
723,723,14.25
724,724,14.25
725,725,14.25
726,726,14.26
727,727,14.26
728,728,14.26
729,729,14.26
730,730,14.27
731,731,14.27
732,732,14.27
733,733,14.28
734,734,14.28
735,735,14.28
736,736,14.29
737,737,14.29
738,738,14.29
739,739,14.29
740,740,14.30
741,741,14.30
742,742,14.30
743,743,14.31
744,744,14.31
745,745,14.31
746,746,14.31
747,747,14.32
748,748,14.32
749,749,14.32
750,750,14.33
751,751,14.33
752,752,14.33
753,753,14.33
754,754,14.34
755,755,14.34
756,756,14.34
757,757,14.35
758,758,14.35
759,759,14.35
760,760,14.35
761,761,14.36
762,762,14.36
763,763,14.36
764,764,14.37
765,765,14.37
766,766,14.37
767,767,14.37
768,768,14.38
769,769,14.38
770,770,14.38
771,771,14.39
772,772,14.39
773,773,14.39
774,774,14.39
775,775,14.40
776,776,14.40
777,777,14.40
778,778,14.41
779,779,14.41
780,780,14.41
781,781,14.41
782,782,14.42
783,783,14.42
784,784,14.42
785,785,14.42
786,786,14.43
787,787,14.43
788,788,14.43
789,789,14.44
790,790,14.44
791,791,14.44
792,792,14.44
793,793,14.45
794,794,14.45
795,795,14.45
796,796,14.45
797,797,14.46
798,798,14.46
799,799,14.46
800,800,14.47
801,801,14.47
802,802,14.47
803,803,14.47
804,804,14.48
805,805,14.48
806,806,14.48
807,807,14.48
808,808,14.49
809,809,14.49
810,810,14.49
811,811,14.50
812,812,14.50
813,813,14.50
814,814,14.50
815,815,14.51
816,816,14.51
817,817,14.51
818,818,14.51
819,819,14.52
820,820,14.52
821,821,14.52
822,822,14.52
823,823,14.53
824,824,14.53
825,825,14.53
826,826,14.53
827,827,14.54
828,828,14.54
829,829,14.54
830,830,14.55
831,831,14.55
832,832,14.55
833,833,14.55
834,834,14.56
835,835,14.56
836,836,14.56
837,837,14.56
838,838,14.57
839,839,14.57
840,840,14.57
841,841,14.57
842,842,14.58
843,843,14.58
844,844,14.58
845,845,14.58
846,846,14.59
847,847,14.59
848,848,14.59
849,849,14.59
850,850,14.60
851,851,14.60
852,852,14.60
853,853,14.60
854,854,14.61
855,855,14.61
856,856,14.61
857,857,14.61
858,858,14.62
859,859,14.62
860,860,14.62
861,861,14.62
862,862,14.63
863,863,14.63
864,864,14.63
865,865,14.63
866,866,14.64
867,867,14.64
868,868,14.64
869,869,14.64
870,870,14.65
871,871,14.65
872,872,14.65
873,873,14.65
874,874,14.66
875,875,14.66
876,876,14.66
877,877,14.66
878,878,14.67
879,879,14.67
880,880,14.67
881,881,14.67
882,882,14.68
883,883,14.68
884,884,14.68
885,885,14.68
886,886,14.69
887,887,14.69
888,888,14.69
889,889,14.69
890,890,14.70
891,891,14.70
892,892,14.70
893,893,14.70
894,894,14.71
895,895,14.71
896,896,14.71
897,897,14.71
898,898,14.72
899,899,14.72
900,900,14.72
901,901,14.72
902,902,14.73
903,903,14.73
904,904,14.73
905,905,14.73
906,906,14.74
907,907,14.74
908,908,14.74
909,909,14.74
910,910,14.74
911,911,14.75
912,912,14.75
913,913,14.75
914,914,14.75
915,915,14.76
916,916,14.76
917,917,14.76
918,918,14.76
919,919,14.77
920,920,14.77
921,921,14.77
922,922,14.77
923,923,14.78
924,924,14.78
925,925,14.78
926,926,14.78
927,927,14.78
928,928,14.79
929,929,14.79
930,930,14.79
931,931,14.79
932,932,14.80
933,933,14.80
934,934,14.80
935,935,14.80
936,936,14.81
937,937,14.81
938,938,14.81
939,939,14.81
940,940,14.81
941,941,14.82
942,942,14.82
943,943,14.82
944,944,14.82
945,945,14.83
946,946,14.83
947,947,14.83
948,948,14.83
949,949,14.84
950,950,14.84
951,951,14.84
952,952,14.84
953,953,14.84
954,954,14.85
955,955,14.85
956,956,14.85
957,957,14.85
958,958,14.86
959,959,14.86
960,960,14.86
961,961,14.86
962,962,14.86
963,963,14.87
964,964,14.87
965,965,14.87
966,966,14.87
967,967,14.88
968,968,14.88
969,969,14.88
970,970,14.88
971,971,14.88
972,972,14.89
973,973,14.89
974,974,14.89
975,975,14.89
976,976,14.90
977,977,14.90
978,978,14.90
979,979,14.90
980,980,14.90
981,981,14.91
982,982,14.91
983,983,14.91
984,984,14.91
985,985,14.92
986,986,14.92
987,987,14.92
988,988,14.92
989,989,14.92
990,990,14.93
991,991,14.93
992,992,14.93
993,993,14.93
994,994,14.94
995,995,14.94
996,996,14.94
997,997,14.94
998,998,14.94
999,999,14.95
1000,1000,14.95
1001,1001,14.95
1002,1002,14.95
1003,1003,14.96
1004,1004,14.96
1005,1005,14.96
1006,1006,14.96
1007,1007,14.96
1008,1008,14.97
1009,1009,14.97
1010,1010,14.97
1011,1011,14.97
1012,1012,14.97
1013,1013,14.98
1014,1014,14.98
1015,1015,14.98
1016,1016,14.98
1017,1017,14.99
1018,1018,14.99
1019,1019,14.99
1020,1020,14.99
1021,1021,14.99
1022,1022,15.00
1023,1023,15.00
1024,1024,15.00
1025,1025,15.00
1026,1026,15.00
1027,1027,15.01
1028,1028,15.01
1029,1029,15.01
1030,1030,15.01
1031,1031,15.01
1032,1032,15.02
1033,1033,15.02
1034,1034,15.02
1035,1035,15.02
1036,1036,15.03
1037,1037,15.03
1038,1038,15.03
1039,1039,15.03
1040,1040,15.03
1041,1041,15.04
1042,1042,15.04
1043,1043,15.04
1044,1044,15.04
1045,1045,15.04
1046,1046,15.05
1047,1047,15.05
1048,1048,15.05
1049,1049,15.05
1050,1050,15.05
1051,1051,15.06
1052,1052,15.06
1053,1053,15.06
1054,1054,15.06
1055,1055,15.06
1056,1056,15.07
1057,1057,15.07
1058,1058,15.07
1059,1059,15.07
1060,1060,15.07
1061,1061,15.08
1062,1062,15.08
1063,1063,15.08
1064,1064,15.08
1065,1065,15.08
1066,1066,15.09
1067,1067,15.09
1068,1068,15.09
1069,1069,15.09
1070,1070,15.10
1071,1071,15.10
1072,1072,15.10
1073,1073,15.10
1074,1074,15.10
1075,1075,15.11
1076,1076,15.11
1077,1077,15.11
1078,1078,15.11
1079,1079,15.11
1080,1080,15.12
1081,1081,15.12
1082,1082,15.12
1083,1083,15.12
1084,1084,15.12
1085,1085,15.13
1086,1086,15.13
1087,1087,15.13
1088,1088,15.13
1089,1089,15.13
1090,1090,15.14
1091,1091,15.14
1092,1092,15.14
1093,1093,15.14
1094,1094,15.14
1095,1095,15.15
1096,1096,15.15
1097,1097,15.15
1098,1098,15.15
1099,1099,15.15
1100,1100,15.15
1101,1101,15.16
1102,1102,15.16
1103,1103,15.16
1104,1104,15.16
1105,1105,15.16
1106,1106,15.17
1107,1107,15.17
1108,1108,15.17
1109,1109,15.17
1110,1110,15.17
1111,1111,15.18
1112,1112,15.18
1113,1113,15.18
1114,1114,15.18
1115,1115,15.18
1116,1116,15.19
1117,1117,15.19
1118,1118,15.19
1119,1119,15.19
1120,1120,15.19
1121,1121,15.20
1122,1122,15.20
1123,1123,15.20
1124,1124,15.20
1125,1125,15.20
1126,1126,15.21
1127,1127,15.21
1128,1128,15.21
1129,1129,15.21
1130,1130,15.21
1131,1131,15.22
1132,1132,15.22
1133,1133,15.22
